word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
the	107270897	-4.26	14	22	953	136	0	0	0	3
of	51292974	-3.95	48	51	452	28	28	28	28	2
and	43771452	-3.58	24	33	1427	165	0	0	0	3
in	42907845	-2.83	54	83	747	469	469	469	469	2
a	32108893	-4.3	0	44	1427	1427	1427	1427	1427	1
to	30796187	-3.37	70	83	953	133	133	133	133	2
was	18038264	-4.5	40	47	537	138	0	0	0	3
is	15770205	-3.75	76	93	747	42	42	42	42	2
for	12633184	-3.17	22	30	845	150	0	0	0	3
as	12184014	-3.2	82	105	1427	113	113	113	113	2
on	11926589	-3.43	44	62	452	18	18	18	18	2
s	11638899	-4.3	0	41	2051	2051	2051	2051	2051	1
with	10633686	-5.15	2	5	537	123	0	0	0	4
by	10577256	-3.54	42	50	1130	12	12	12	12	2
he	9477299	-3.66	70	80	713	154	154	154	154	2
that	8605271	-6.26	8	10	953	136	0	0	0	4
at	8045562	-3.91	76	101	1427	73	73	73	73	2
from	7853554	-5.47	4	5	845	120	0	0	0	4
his	7524596	-4.62	22	27	713	82	0	0	0	3
it	7266156	-4.12	70	87	747	17	17	17	17	2
an	5893098	-2.75	60	89	1427	165	165	165	165	2
were	4973571	-5.11	10	13	537	103	0	0	0	4
are	4893530	-4.18	36	51	1427	163	0	0	0	3
which	4597239	-6.34	0	0	537	53	0	0	0	5
this	4159122	-5.5	4	5	953	136	0	0	0	4
also	3940578	-6.4	2	3	1427	150	0	0	0	4
be	3934555	-3.19	72	89	1130	203	203	203	203	2
or	3856880	-3.23	60	72	452	89	89	89	89	2
has	3757784	-4.29	40	49	713	211	0	0	0	3
had	3532367	-4.49	32	40	713	211	0	0	0	3
first	3438051	-6.73	0	1	845	151	0	0	0	5
one	3233062	-4.91	14	26	452	18	0	0	0	3
their	3078123	-6.35	0	2	953	136	0	0	0	5
its	2936764	-4.4	18	27	747	17	0	0	0	3
new	2882899	-4.43	24	28	475	120	0	0	0	3
but	2878298	-3.85	26	33	1130	131	0	0	0	3
after	2873390	-4.91	2	2	1427	41	0	0	0	5
not	2830403	-4.16	28	32	475	121	0	0	0	3
who	2803578	-5.18	6	8	537	53	0	0	0	3
they	2714113	-5.0	8	11	953	136	0	0	0	4
have	2615533	-4.69	22	25	713	211	0	0	0	4
two	2581938	-5.71	6	7	953	16	0	0	0	3
her	2519330	-3.2	16	27	713	154	0	0	0	3
she	2419525	-4.24	18	26	2051	183	0	0	0	3
been	2328677	-5.29	16	18	1130	203	0	0	0	4
other	2240241	-5.89	4	6	452	10	0	0	0	5
all	2188690	-3.67	20	31	1427	150	0	0	0	3
when	2103503	-5.04	10	12	537	53	0	0	0	4
time	1980867	-5.71	8	13	953	62	0	0	0	4
there	1980618	-5.38	6	8	953	136	0	0	0	5
during	1915838	-5.85	4	4	1141	64	0	0	0	6
into	1847368	-5.49	8	10	747	469	0	0	0	4
school	1734464	-7.54	0	1	2051	114	0	0	0	6
more	1714769	-4.72	28	33	1197	231	0	0	0	4
may	1671868	-3.91	52	59	1197	426	0	0	0	3
years	1657517	-6.57	14	16	78	18	0	0	0	5
only	1595589	-6.39	0	0	452	18	0	0	0	4
over	1594845	-3.9	6	11	452	37	0	0	0	4
up	1593770	-3.79	60	65	281	34	34	34	34	2
most	1574921	-4.7	20	21	1197	231	0	0	0	4
th	1539627	-2.87	58	63	953	136	136	136	136	2
year	1510122	-6.01	24	26	78	18	0	0	0	4
some	1481812	-5.22	12	13	2051	140	0	0	0	4
city	1475096	-4.5	4	4	1993	51	0	0	0	4
would	1470067	-7.16	8	9	537	71	0	0	0	5
world	1454365	-6.64	2	4	537	71	0	0	0	5
where	1420836	-5.64	2	4	537	53	0	0	0	5
between	1406459	-8.68	0	0	1130	203	0	0	0	7
can	1405431	-3.41	62	71	1993	330	0	0	0	3
later	1403785	-4.51	12	15	716	172	0	0	0	5
out	1393260	-4.31	18	22	452	47	0	0	0	3
three	1390761	-6.32	2	4	953	136	0	0	0	5
such	1382483	-5.18	2	2	2051	272	0	0	0	4
used	1358075	-4.74	4	7	281	25	0	0	0	4
many	1354479	-4.42	14	20	1197	426	0	0	0	4
him	1350617	-5.18	32	35	713	82	0	0	0	3
then	1350603	-4.78	20	23	953	136	0	0	0	4
state	1346813	-4.75	12	19	2051	326	0	0	0	5
about	1329421	-6.02	0	1	1427	67	0	0	0	5
known	1316882	-5.31	2	3	247	26	0	0	0	5
made	1312987	-4.94	20	23	1197	426	0	0	0	4
under	1305830	-4.58	0	0	281	155	0	0	0	5
national	1278620	-6.18	0	0	475	102	0	0	0	8
i	1273593	-4.3	0	40	747	747	747	747	747	1
united	1256635	-5.54	0	1	281	155	0	0	0	6
university	1239200	-9.39	0	0	281	155	0	0	0	10
while	1236731	-5.46	8	8	537	53	0	0	0	5
these	1228381	-5.75	6	7	953	136	0	0	0	5
part	1223147	-4.1	22	29	1506	291	0	0	0	4
no	1202302	-3.27	72	83	475	121	121	121	121	2
than	1195646	-4.76	16	21	953	136	0	0	0	4
american	1167917	-8.37	0	1	1427	72	0	0	0	8
became	1161456	-8.19	2	2	1130	203	0	0	0	6
second	1153497	-6.81	0	1	2051	247	0	0	0	6
well	1148826	-4.6	20	21	537	103	0	0	0	4
south	1145111	-5.51	4	4	2051	140	0	0	0	5
team	1142469	-6.03	8	12	953	155	0	0	0	4
born	1142461	-4.96	22	24	1130	161	0	0	0	4
states	1138817	-5.31	10	14	2051	326	0	0	0	6
being	1124797	-4.82	2	5	1130	203	0	0	0	5
war	1122882	-3.7	38	48	537	138	0	0	0	3
season	1121056	-6.43	2	3	2051	247	0	0	0	6
through	1117239	-7.13	0	3	953	136	0	0	0	7
including	1099034	-8.35	0	0	747	469	0	0	0	9
both	1097435	-4.96	8	9	1130	161	0	0	0	4
however	1094923	-7.84	0	0	713	157	0	0	0	7
before	1073391	-7.37	0	0	1130	203	0	0	0	6
people	1070417	-8.19	0	1	1506	180	0	0	0	6
film	1069190	-5.57	6	7	845	151	0	0	0	4
north	1063988	-5.51	6	6	475	121	0	0	0	5
high	1062060	-5.02	2	4	713	82	0	0	0	4
family	1028689	-6.8	0	0	845	149	0	0	0	6
area	1026502	-5.89	4	8	1427	163	0	0	0	4
early	1017602	-5.64	6	9	905	42	0	0	0	5
them	1015050	-5.41	10	12	953	136	0	0	0	4
history	1004671	-7.07	0	0	713	82	0	0	0	7
name	984126	-5.37	14	18	475	102	0	0	0	4
since	978361	-5.18	2	3	2051	147	0	0	0	5
until	974291	-6.62	0	0	281	155	0	0	0	5
album	967443	-7.4	0	1	1427	150	0	0	0	5
against	965259	-8.81	0	0	1427	31	0	0	0	7
series	957995	-5.69	2	3	2051	247	0	0	0	6
will	948024	-4.28	24	27	537	123	0	0	0	4
work	941272	-4.94	16	17	537	71	0	0	0	4
county	935399	-6.23	4	6	1993	876	0	0	0	6
group	930516	-6.68	0	1	626	151	0	0	0	5
music	926087	-6.08	0	0	1197	78	0	0	0	5
life	925805	-5.74	16	17	716	176	0	0	0	4
several	918975	-7.31	0	0	2051	247	0	0	0	7
number	913932	-6.24	4	5	475	32	0	0	0	6
called	907027	-4.95	4	4	1993	330	0	0	0	6
district	905222	-7.39	0	0	1141	300	0	0	0	8
following	898416	-8.43	0	0	845	150	0	0	0	9
de	891338	-2.66	70	92	1141	409	409	409	409	2
company	886924	-6.71	0	0	1993	876	0	0	0	7
four	885490	-5.13	12	17	845	150	0	0	0	4
played	866933	-5.72	6	6	1506	97	0	0	0	6
released	848010	-7.8	0	1	1209	698	0	0	0	8
west	832947	-4.82	16	19	537	103	0	0	0	4
so	826632	-3.69	72	81	2051	140	140	140	140	2
government	822262	-8.69	0	0	626	74	0	0	0	10
career	814077	-6.8	4	5	1993	330	0	0	0	6
game	812725	-5.44	22	23	626	108	0	0	0	4
each	808844	-5.69	6	11	905	42	0	0	0	4
league	807870	-7.62	0	1	716	146	0	0	0	6
day	797363	-3.65	40	44	1141	105	0	0	0	3
now	794156	-4.15	34	39	475	121	0	0	0	3
based	788292	-4.94	6	8	1130	267	0	0	0	5
same	786287	-5.08	26	28	2051	183	0	0	0	4
town	782768	-4.5	6	10	953	133	0	0	0	4
house	782037	-5.34	4	7	713	157	0	0	0	5
use	778794	-4.45	16	23	281	25	0	0	0	3
