word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
de	28101631	-2.65	64	73	1263	619	619	619	619	2
la	14864558	-3.0	54	63	673	119	119	119	119	2
en	12613094	-3.0	36	49	1421	237	237	237	237	2
el	11903974	-3.27	44	51	1421	100	100	100	100	2
y	9563776	-4.3	0	7	43	43	43	43	43	1
a	6622388	-4.3	0	40	1894	1894	1894	1894	1894	1
que	6077385	-3.72	12	13	90	87	0	0	0	3
los	5321776	-3.23	20	26	673	91	0	0	0	3
del	5061497	-3.77	16	20	1263	619	0	0	0	3
se	4368723	-2.48	70	84	1300	271	271	271	271	2
por	3684915	-3.31	18	24	1810	224	0	0	0	3
un	3562197	-4.23	28	40	177	55	55	55	55	2
con	3314912	-2.44	32	36	2537	1146	0	0	0	3
las	3253457	-3.38	24	32	673	119	0	0	0	3
una	3227294	-4.18	14	23	177	55	0	0	0	3
su	2993082	-4.44	68	78	1300	274	274	274	274	2
es	2595866	-2.0	50	64	1421	411	411	411	411	2
como	2085007	-3.82	24	25	2537	1146	0	0	0	4
al	2057650	-2.58	54	67	1894	242	242	242	242	2
para	2045995	-3.96	40	45	1810	362	0	0	0	4
fue	1686634	-4.11	8	11	756	91	0	0	0	3
más	1240653	-4.57	10	11	1238	23	0	0	0	3
no	1121097	-2.66	42	55	435	116	116	116	116	2
o	1064256	-4.3	0	23	473	473	473	473	473	1
sus	983462	-3.88	26	30	1300	274	0	0	0	3
lo	888708	-2.95	40	46	673	91	91	91	91	2
entre	756379	-5.61	4	6	1421	237	0	0	0	5
también	705873	-8.48	0	0	880	96	0	0	0	7
este	625335	-3.87	12	16	1421	411	0	0	0	4
dos	565374	-3.06	26	30	1263	109	0	0	0	3
años	554166	-4.33	2	6	1894	11	0	0	0	4
son	549743	-3.7	34	38	1300	177	0	0	0	3
pero	536153	-3.87	20	25	1810	287	0	0	0	4
desde	515515	-6.93	2	3	1263	619	0	0	0	5
esta	515210	-3.61	12	18	1421	411	0	0	0	4
hasta	503273	-5.66	8	9	556	150	0	0	0	5
año	502905	-4.1	8	13	1894	11	0	0	0	3
le	495151	-3.15	48	60	673	122	122	122	122	2
ha	493876	-3.11	58	70	556	150	150	150	150	2
durante	479829	-6.34	0	0	1263	49	0	0	0	7
era	470945	-4.33	18	26	1421	33	0	0	0	3
parte	461373	-4.48	8	13	1810	362	0	0	0	5
sobre	460647	-5.94	4	4	1300	177	0	0	0	5
donde	458734	-7.17	6	7	1263	109	0	0	0	5
ser	441597	-3.73	30	35	1300	271	0	0	0	3
ciudad	439409	-7.37	0	0	2537	116	0	0	0	6
sin	418456	-4.64	36	42	1300	174	0	0	0	3
cuando	379213	-5.54	4	4	2537	160	0	0	0	6
después	378552	-7.36	0	0	1263	619	0	0	0	7
está	372243	-5.97	8	11	1421	411	0	0	0	4
eran	368631	-5.24	4	5	1421	33	0	0	0	4
primera	353337	-7.34	2	4	1810	579	0	0	0	7
tiene	353161	-6.46	2	5	880	62	0	0	0	5
gran	344822	-4.18	14	18	571	116	0	0	0	4
ya	327085	-3.73	48	50	43	10	10	10	10	2
población	325765	-7.22	0	0	1810	224	0	0	0	9
había	314319	-5.48	8	10	556	150	0	0	0	5
otros	312937	-6.38	2	3	473	23	0	0	0	5
e	312544	-4.3	0	32	1421	1421	1421	1421	1421	1
san	310270	-3.63	44	54	1300	211	0	0	0	3
the	307647	-4.42	6	11	880	29	0	0	0	3
nombre	305463	-6.65	6	7	435	116	0	0	0	6
uno	296919	-4.51	12	17	177	55	0	0	0	3
fueron	296907	-6.09	4	5	756	91	0	0	0	6
primer	291029	-6.74	0	3	1810	579	0	0	0	6
cual	289486	-4.28	4	5	2537	160	0	0	0	4
así	288648	-5.63	10	13	1894	137	0	0	0	3
estado	287477	-4.44	2	5	1421	411	0	0	0	6
puede	286630	-6.21	6	8	1810	85	0	0	0	5
historia	284319	-7.59	0	0	556	82	0	0	0	8
muy	282589	-5.9	4	6	1238	102	0	0	0	3
mismo	270007	-5.1	4	5	1238	160	0	0	0	5
según	268670	-6.22	0	0	1300	271	0	0	0	5
encuentra	266034	-8.73	0	0	1421	237	0	0	0	9
familia	261925	-7.2	0	2	756	134	0	0	0	7
vez	256894	-4.44	10	11	605	173	0	0	0	3
forma	256061	-4.83	8	12	756	104	0	0	0	5
tras	255080	-3.43	4	8	880	258	0	0	0	4
nacional	253289	-7.31	0	0	435	111	0	0	0	8
aunque	252519	-7.96	0	0	1894	102	0	0	0	6
tres	250449	-3.78	12	13	880	258	0	0	0	4
municipio	247927	-9.28	0	0	1238	102	0	0	0	9
además	245678	-7.87	0	1	1894	128	0	0	0	6
km²	244550	-4.5	0	2	80	2	0	0	0	3
siglo	239818	-5.99	4	5	1300	174	0	0	0	5
grupo	231558	-6.98	0	1	571	116	0	0	0	5
mayor	230600	-5.61	4	5	1238	430	0	0	0	5
estados	229630	-5.0	2	4	1421	411	0	0	0	7
todo	228589	-5.16	20	22	880	118	0	0	0	4
lugar	228515	-6.09	6	6	673	57	0	0	0	5
otras	227789	-6.12	4	6	473	23	0	0	0	5
guerra	225468	-6.55	0	1	571	81	0	0	0	6
sido	222000	-3.86	10	12	1300	174	0	0	0	4
general	218108	-7.54	4	5	571	104	0	0	0	7
tiempo	213874	-8.66	0	2	880	62	0	0	0	6
habitantes	210445	-8.7	0	0	556	150	0	0	0	10
si	208398	-4.49	66	76	1300	174	174	174	174	2
junto	206002	-5.24	8	10	246	102	0	0	0	5
han	204745	-3.83	42	50	556	150	0	0	0	3
contra	204654	-4.8	2	3	2537	1146	0	0	0	6
cada	204037	-3.61	22	24	2537	550	0	0	0	4
nueva	203838	-6.28	6	7	435	37	0	0	0	5
bajo	203524	-4.61	8	11	691	202	0	0	0	4
personas	203095	-7.27	0	1	1810	287	0	0	0	8
españa	201541	-5.86	2	2	1421	411	0	0	0	6
unidos	201167	-5.56	2	4	177	55	0	0	0	6
sur	196195	-4.49	22	26	1300	274	0	0	0	3
ese	195834	-3.67	14	20	1421	411	0	0	0	3
todos	195634	-5.73	14	15	880	118	0	0	0	5
embargo	193885	-7.67	0	0	1421	119	0	0	0	7
nuevo	192832	-6.41	6	7	435	37	0	0	0	5
norte	192230	-5.45	6	7	435	116	0	0	0	5
vida	191140	-3.61	10	16	605	219	0	0	0	4
gobierno	190445	-8.71	0	0	571	66	0	0	0	8
total	190204	-6.69	0	0	880	118	0	0	0	5
río	189634	-4.96	12	16	1162	6	0	0	0	3
mientras	188883	-6.1	0	0	1238	160	0	0	0	8
equipo	188009	-7.26	0	1	1421	14	0	0	0	6
partido	184692	-5.94	2	3	1810	362	0	0	0	7
estaba	184047	-5.36	0	1	1421	411	0	0	0	6
algunos	183635	-8.42	2	3	1894	242	0	0	0	7
siendo	183364	-5.44	4	4	1300	174	0	0	0	6
hacia	183102	-4.63	4	4	556	150	0	0	0	5
universidad	180962	-11.54	0	0	177	55	0	0	0	11
serie	180436	-6.45	4	5	1300	271	0	0	0	5
quien	180229	-5.11	6	6	90	87	0	0	0	5
él	179777	-4.95	18	19	24	3	3	3	3	2
tanto	176844	-5.35	14	15	880	96	0	0	0	5
c	176260	-4.3	0	27	2537	2537	2537	2537	2537	1
luego	175284	-6.82	6	7	673	57	0	0	0	5
antes	175070	-4.34	6	8	1894	200	0	0	0	5
país	170103	-5.92	6	8	1810	362	0	0	0	4
estos	166607	-4.34	8	12	1421	411	0	0	0	5
día	165801	-3.88	12	15	1263	5	0	0	0	3
sólo	164736	-5.33	2	2	1300	7	0	0	0	4
tenía	164046	-5.33	8	9	880	218	0	0	0	5
segunda	163349	-6.89	4	5	1300	271	0	0	0	7
debido	162052	-5.84	2	2	1263	619	0	0	0	6
provincia	161978	-7.54	0	0	1810	579	0	0	0	9
mundo	161040	-4.1	4	6	1238	102	0	0	0	5
censo	159012	-5.81	2	3	2537	140	0	0	0	5
juan	158728	-5.57	6	9	246	102	0	0	0	4
álbum	158477	-8.53	2	2	44	8	0	0	0	5
s	158085	-4.3	0	30	1300	1300	1300	1300	1300	1
entonces	156191	-7.79	0	0	1421	237	0	0	0	8
banda	155393	-4.75	12	15	691	202	0	0	0	5
centro	152206	-5.83	8	10	2537	140	0	0	0	6
tuvo	151506	-5.13	2	2	880	47	0	0	0	4
varios	150877	-5.67	2	2	605	110	0	0	0	6
pueden	150705	-6.99	4	5	1810	85	0	0	0	6
obra	150526	-4.49	2	4	473	69	0	0	0	4
otro	150005	-6.12	4	7	473	23	0	0	0	4
final	149551	-5.13	2	3	756	158	0	0	0	5
agua	149264	-5.15	0	3	1894	64	0	0	0	4
sistema	148197	-7.64	0	1	1300	174	0	0	0	7
club	146561	-6.66	0	2	2537	82	0	0	0	4
hay	146457	-4.59	38	41	556	150	0	0	0	3
número	144848	-6.99	2	3	435	6	0	0	0	6
especie	144413	-7.47	0	1	1421	411	0	0	0	7
cuenta	144301	-5.77	6	8	2537	160	0	0	0	6
esto	143741	-3.95	8	14	1421	411	0	0	0	4
julio	143703	-6.43	8	8	246	102	0	0	0	5
