word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
eta	1097954	-3.33	14	24	2102	104	0	0	0	3
ziren	728035	-4.84	10	11	731	186	0	0	0	5
zeuden	420146	-6.99	2	2	731	234	0	0	0	6
zen	401440	-2.58	20	28	731	234	0	0	0	3
an	373835	-2.29	42	66	2248	212	212	212	212	2
da	277782	-3.18	56	67	780	136	136	136	136	2
bat	230772	-3.87	22	28	1694	559	0	0	0	3
zituzten	173193	-7.16	0	0	731	186	0	0	0	8
etxek	172210	-5.75	4	8	2102	104	0	0	0	5
enpresak	160288	-9.47	0	1	2102	75	0	0	0	8
izan	155297	-4.5	12	16	1136	118	0	0	0	4
etxebizitza	140137	-10.36	0	0	2102	104	0	0	0	11
zuen	138869	-3.79	8	12	731	120	0	0	0	4
zuten	133858	-5.15	4	6	731	120	0	0	0	5
pertsona	132793	-8.01	0	1	1002	116	0	0	0	8
bere	106034	-4.44	20	29	1694	442	0	0	0	4
biztanleria	101669	-10.82	0	0	1694	351	0	0	0	11
udalerrian	98030	-9.25	0	0	383	46	0	0	0	10
seme	97537	-5.87	0	3	929	179	0	0	0	4
familiak	94314	-7.77	0	1	478	78	0	0	0	8
enpresa	92289	-9.11	0	2	2102	75	0	0	0	7
du	91379	-3.38	40	45	780	58	58	58	58	2
zegoen	90640	-6.33	2	3	731	234	0	0	0	6
artean	90296	-5.12	8	13	2248	475	0	0	0	6
zituen	90280	-5.79	2	3	731	186	0	0	0	6
ere	83774	-3.94	18	30	2102	647	0	0	0	3
bizi	77495	-4.65	4	7	1694	351	0	0	0	4
zerbitzu	74172	-9.46	0	0	731	234	0	0	0	8
dauden	70839	-7.07	0	1	780	136	0	0	0	6
ekonomia	70038	-8.08	0	0	2102	107	0	0	0	8
horien	70019	-5.38	12	12	1177	201	0	0	0	6
herriak	69812	-5.14	12	14	1177	270	0	0	0	7
dago	69132	-4.95	4	4	780	136	0	0	0	4
emakume	68326	-8.53	0	1	2102	72	0	0	0	7
bakarrik	68270	-7.25	0	0	1694	559	0	0	0	8
biztanleak	67594	-9.56	0	0	1694	351	0	0	0	10
ko	67259	-1.87	46	52	993	447	447	447	447	2
gertuen	66912	-6.39	0	0	1179	219	0	0	0	7
piramidea	66799	-9.48	0	0	1002	93	0	0	0	9
erroldatutako	66780	-10.98	0	0	2102	647	0	0	0	13
dira	66692	-4.53	10	13	780	218	0	0	0	4
etxetan	66582	-6.9	0	2	2102	104	0	0	0	7
gizon	66205	-6.48	0	1	1179	95	0	0	0	5
dituzten	62884	-7.08	0	1	780	218	0	0	0	8
ditu	62792	-4.25	10	14	780	218	0	0	0	4
ez	60200	-2.73	36	40	2102	150	150	150	150	2
alabak	60029	-5.81	2	3	2248	312	0	0	0	6
baino	60019	-5.33	10	10	1694	559	0	0	0	5
diru	59172	-5.24	12	15	780	218	0	0	0	4
den	58881	-3.17	32	38	780	237	0	0	0	3
bi	57758	-3.61	46	57	1694	351	351	351	351	2
hau	57538	-4.21	20	25	1177	388	0	0	0	3
beste	56122	-4.78	2	6	1694	442	0	0	0	5
a	55979	-4.3	0	37	2248	2248	2248	2248	2248	1
bestelako	53810	-7.28	0	0	1694	442	0	0	0	9
biztanle	50122	-8.6	0	0	1694	351	0	0	0	8
edo	48449	-4.47	4	7	2102	56	0	0	0	3
bigarren	47557	-6.26	0	0	1694	351	0	0	0	8
lan	47361	-2.94	42	50	895	282	0	0	0	3
urtean	46526	-5.67	10	12	383	129	0	0	0	6
egin	45811	-3.97	12	14	2102	172	0	0	0	4
nekazaritza	45752	-11.46	0	0	460	100	0	0	0	11
honek	43345	-5.4	4	4	1177	201	0	0	0	5
hiru	43032	-4.65	8	8	1177	238	0	0	0	4
nagusia	42959	-7.07	0	4	460	192	0	0	0	7
ibilgailuen	42952	-11.0	0	0	1136	60	0	0	0	11
lehen	42693	-4.86	0	1	895	224	0	0	0	5
eskualdean	41933	-7.82	0	0	2102	383	0	0	0	10
gisa	40640	-6.38	10	12	1179	95	0	0	0	4
gehiago	40092	-7.65	0	2	1179	219	0	0	0	7
lau	39974	-4.88	20	24	895	282	0	0	0	3
frantziako	39926	-7.71	0	0	478	106	0	0	0	10
egiteko	39684	-5.89	4	5	2102	172	0	0	0	7
euren	38533	-4.82	2	5	2102	83	0	0	0	5
de	37934	-2.87	52	60	780	237	237	237	237	2
bost	37112	-5.65	8	9	1694	141	0	0	0	4
gabeko	36573	-5.85	2	3	1179	409	0	0	0	6
eraikuntza	36556	-8.82	0	0	2102	647	0	0	0	10
lanean	36382	-5.96	0	2	895	282	0	0	0	6
ondorengo	36045	-9.54	0	0	650	91	0	0	0	9
erakusten	35181	-7.84	0	0	2102	647	0	0	0	9
