word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
yang	1133768	-5.07	36	41	137	40	0	0	0	4
dan	1072192	-3.24	60	71	1545	140	0	0	0	3
di	820204	-2.65	86	102	1545	1013	1013	1013	1013	2
dari	608324	-4.73	34	38	1545	140	0	0	0	4
ini	593687	-4.07	30	43	443	187	0	0	0	3
pada	496876	-4.43	24	31	2240	359	0	0	0	4
adalah	461054	-6.25	0	1	1084	59	0	0	0	6
dengan	394240	-4.93	4	5	1545	179	0	0	0	6
dalam	350815	-5.88	12	13	1545	140	0	0	0	5
untuk	306926	-6.59	2	2	234	50	0	0	0	5
tahun	258065	-6.41	4	6	1272	243	0	0	0	5
juga	224815	-6.34	6	6	385	71	0	0	0	4
merupakan	222514	-7.8	0	0	2321	1359	0	0	0	9
sebagai	203611	-7.05	0	1	1798	509	0	0	0	7
oleh	200744	-6.25	2	4	238	18	0	0	0	4
ke	191582	-2.92	82	92	1667	655	655	655	655	2
spesies	166509	-9.02	2	2	1798	60	0	0	0	7
atau	156935	-5.74	4	6	1084	47	0	0	0	4
bagian	154506	-5.97	0	2	1627	341	0	0	0	6
menjadi	149060	-6.71	0	0	2321	1359	0	0	0	7
ia	145428	-3.9	80	106	443	7	7	7	7	2
tidak	145408	-6.24	0	1	1272	108	0	0	0	5
indonesia	131812	-9.82	0	0	443	187	0	0	0	9
itu	130145	-5.06	16	21	443	16	0	0	0	3
sebuah	128262	-6.59	0	0	1798	509	0	0	0	6
dapat	127400	-5.44	4	4	1545	140	0	0	0	5
kayu	114233	-5.74	8	12	1667	353	0	0	0	4
satu	107690	-5.31	26	29	1798	287	0	0	0	4
telah	106432	-4.79	10	10	1272	506	0	0	0	5
memiliki	104815	-7.5	0	2	2321	1359	0	0	0	8
mereka	100856	-6.57	0	3	2321	1359	0	0	0	6
seperti	99046	-6.89	0	0	1798	509	0	0	0	7
asteroid	96441	-9.87	0	1	1084	82	0	0	0	8
kelas	94351	-4.84	14	14	1667	655	0	0	0	5
orang	92740	-5.22	4	5	238	57	0	0	0	5
kota	90510	-4.74	16	19	1667	282	0	0	0	4
kumbang	86991	-6.43	8	8	1667	125	0	0	0	7
lalat	86950	-6.2	4	6	646	192	0	0	0	5
desa	86343	-4.74	10	14	1545	179	0	0	0	4
berasal	86226	-6.06	2	4	1627	752	0	0	0	7
famili	84758	-7.37	2	3	388	77	0	0	0	6
