word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
年	2731048	-4.31	0	58	588	588	588	588	588	1
月	1307849	-4.34	0	25	178	178	178	178	178	1
は	647601	-4.38	0	89	91	91	91	91	91	1
日	522130	-4.31	0	48	480	480	480	480	480	1
また	274087	-4.25	28	35	75	13	13	13	13	2
第	193859	-4.52	0	27	28	28	28	28	28	1
昭和	162714	-5.7	30	33	4	2	2	2	2	2
しかし	118742	-4.88	4	6	64	12	0	0	0	3
平成	100571	-5.5	28	29	29	2	2	2	2	2
なお	100285	-4.67	12	19	66	7	7	7	7	2
the	86441	-4.59	6	13	222	39	0	0	0	3
その後	86147	-4.21	32	41	169	97	0	0	0	3
年から	73376	-3.86	58	75	588	12	0	0	0	3
同年	71537	-3.96	54	65	55	10	10	10	10	2
m	64717	-4.32	0	61	316	316	316	316	316	1
明治	64681	-4.73	44	47	21	6	6	6	6	2
の	64297	-4.33	0	112	200	200	200	200	200	1
とは	62041	-4.25	180	183	441	7	7	7	7	2
である	60622	-3.27	22	60	96	22	0	0	0	3
a	60320	-4.32	0	55	299	299	299	299	299	1
と	60278	-4.31	0	43	441	441	441	441	441	1
of	57317	-4.73	72	76	93	5	5	5	5	2
s	48927	-4.32	0	48	406	406	406	406	406	1
が	48809	-4.33	0	29	217	217	217	217	217	1
で	47521	-4.37	0	55	96	96	96	96	96	1
年に	47061	-3.89	170	192	588	162	162	162	162	2
人	47044	-4.37	0	39	103	103	103	103	103	1
ただし	43427	-6.18	6	8	41	4	0	0	0	3
km	42343	-4.17	88	99	114	21	21	21	21	2
現	39581	-4.44	0	8	45	45	45	45	45	1
では	37089	-3.75	166	185	96	5	5	5	5	2
c	36742	-4.32	0	46	370	370	370	370	370	1
概要	36360	-5.73	10	11	6	1	1	1	1	2
年には	35845	-3.59	50	68	588	162	0	0	0	3
日から	35269	-4.41	58	63	480	6	0	0	0	3
や	34871	-4.54	0	9	25	25	25	25	25	1
分	33116	-4.48	0	17	36	36	36	36	36	1
cm	32554	-4.24	104	113	370	13	13	13	13	2
翌	32371	-4.62	0	5	17	17	17	17	17	1
b	31824	-4.33	0	51	227	227	227	227	227	1
x	30852	-4.52	0	37	28	28	28	28	28	1
位	30723	-4.39	0	12	78	78	78	78	78	1
f	30586	-4.33	0	48	217	217	217	217	217	1
さらに	30370	-5.39	2	5	46	10	0	0	0	3
d	30260	-4.33	0	41	216	216	216	216	216	1
ザ	29964	-4.8	0	2	9	9	9	9	9	1
に	29683	-4.32	0	52	309	309	309	309	309	1
号	29539	-4.44	0	17	48	48	48	48	48	1
から	29389	-3.33	26	64	74	22	22	22	22	2
回	29332	-4.38	0	16	82	82	82	82	82	1
約	29283	-5.29	0	7	3	3	3	3	3	1
時	29121	-4.43	0	22	52	52	52	52	52	1
大正	28579	-5.36	108	110	110	2	2	2	2	2
そして	28501	-5.1	8	12	169	4	0	0	0	3
日に	27608	-4.38	148	159	480	122	122	122	122	2
en	26562	-3.69	68	79	178	22	22	22	22	2
これは	26144	-4.93	16	20	234	46	0	0	0	3
勝	25066	-4.54	0	9	25	25	25	25	25	1
n	24364	-4.34	0	38	157	157	157	157	157	1
e	24282	-4.34	0	43	178	178	178	178	178	1
年の	24161	-3.43	242	269	588	67	67	67	67	2
and	24096	-4.04	18	26	299	38	0	0	0	3
を	23561	-4.32	0	12	311	311	311	311	311	1
i	23495	-4.35	0	39	138	138	138	138	138	1
r	23399	-4.33	0	46	210	210	210	210	210	1
h	23268	-4.34	0	40	164	164	164	164	164	1
p	23104	-4.33	0	43	259	259	259	259	259	1
br	22881	-4.35	102	106	227	25	25	25	25	2
万	22821	-4.43	0	12	50	50	50	50	50	1
t	22804	-4.33	0	44	222	222	222	222	222	1
g	22759	-4.34	0	38	161	161	161	161	161	1
そのため	22233	-4.99	2	5	169	97	0	0	0	4
formula_	21689	-9.14	0	1	217	34	0	0	0	8
in	21582	-3.48	64	84	138	56	56	56	56	2
月から	21545	-4.28	58	67	178	8	0	0	0	3
一方	21397	-5.07	24	26	43	3	3	3	3	2
de	20819	-3.29	88	103	216	61	61	61	61	2
デ	20453	-4.36	0	13	109	109	109	109	109	1
k	20259	-4.36	0	32	114	114	114	114	114	1
オブ	20085	-5.37	36	37	117	2	2	2	2	2
当時	20052	-4.76	22	27	20	3	3	3	3	2
には	19608	-3.97	170	187	309	3	3	3	3	2
であり	19312	-4.24	20	31	96	22	0	0	0	3
l	18898	-4.34	0	39	170	170	170	170	170	1
月に	18600	-4.0	116	125	178	52	52	52	52	2
j	18518	-4.36	0	28	125	125	125	125	125	1
現在	18411	-4.08	16	25	45	16	16	16	16	2
ド	17880	-4.38	0	9	87	87	87	87	87	1
全	17715	-4.46	0	17	39	39	39	39	39	1
など	17692	-4.06	10	16	66	27	27	27	27	2
例えば	17281	-6.77	0	0	8	1	0	0	0	3
形	17093	-4.55	0	14	24	24	24	24	24	1
v	16838	-4.38	0	33	81	81	81	81	81	1
この	16749	-4.39	168	183	234	142	142	142	142	2
紀元前	16656	-5.87	2	4	6	3	0	0	0	3
面	16526	-4.95	0	4	6	6	6	6	6	1
がある	16447	-3.95	28	35	217	7	0	0	0	3
w	16053	-4.35	0	23	141	141	141	141	141	1
世	15885	-4.39	0	12	75	75	75	75	75	1
歳	15883	-4.41	0	7	58	58	58	58	58	1
アルバム	15867	-3.79	2	8	330	37	0	0	0	4
巻	15191	-4.58	0	11	20	20	20	20	20	1
to	15185	-3.74	86	95	222	27	27	27	27	2
条	14762	-4.64	0	11	16	16	16	16	16	1
話	14696	-4.62	0	7	17	17	17	17	17	1
u	14684	-4.4	0	32	66	66	66	66	66	1
名	14451	-4.43	0	28	52	52	52	52	52	1
このため	14249	-5.13	2	4	234	142	0	0	0	4
mm	14037	-4.97	120	127	316	12	12	12	12	2
身長	13821	-6.01	42	44	2	2	2	2	2	2
ジョン	13474	-3.66	20	26	138	36	0	0	0	3
人口	13413	-4.55	58	64	103	7	7	7	7	2
期	13390	-4.62	0	13	17	17	17	17	17	1
だが	13325	-5.39	56	60	15	1	1	1	1	2
日には	12824	-4.2	36	41	480	122	0	0	0	3
月には	12821	-4.3	28	33	178	52	0	0	0	3
アンド	12647	-4.11	26	28	330	35	0	0	0	3
国道	12561	-5.02	48	52	31	1	1	1	1	2
年度	12189	-4.57	100	109	588	24	24	24	24	2
フォン	12149	-4.74	16	17	203	23	0	0	0	3
http	12130	-7.16	0	1	164	8	0	0	0	4
for	11970	-3.92	8	14	217	34	0	0	0	3
ごう	11870	-5.89	18	22	7	2	2	2	2	2
kg	11843	-4.77	74	81	114	12	12	12	12	2
として	11821	-3.52	12	24	441	40	0	0	0	3
番	11815	-4.43	0	13	50	50	50	50	50	1
colspan	11769	-9.25	0	0	370	105	0	0	0	7
o	11550	-4.37	0	34	93	93	93	93	93	1
という	11522	-3.67	6	10	441	41	0	0	0	3
以後	11411	-4.75	36	40	42	3	3	3	3	2
特に	11341	-5.58	96	99	20	2	2	2	2	2
円	11324	-4.85	0	6	8	8	8	8	8	1
英語	11133	-4.71	30	36	24	10	10	10	10	2
日本では	10758	-5.0	8	11	480	171	0	0	0	4
本名	10474	-4.84	76	81	85	4	4	4	4	2
億	10435	-4.89	0	1	7	7	7	7	7	1
経歴	10420	-5.55	18	18	11	1	1	1	1	2
年代	10379	-4.45	104	111	588	46	46	46	46	2
であった	10125	-4.23	10	27	96	22	0	0	0	4
以下	10099	-4.64	24	29	42	17	17	17	17	2
英	9986	-4.55	0	9	24	24	24	24	24	1
享年	9819	-5.8	36	38	8	2	2	2	2	2
民国	9794	-5.31	34	35	11	2	2	2	2	2
または	9730	-4.89	8	12	75	13	0	0	0	3
と呼ばれる	9694	-4.12	4	7	441	35	0	0	0	5
年現在	9619	-4.64	6	11	588	10	0	0	0	3
映画	9443	-4.06	14	19	13	10	10	10	10	2
分の	9380	-5.31	184	187	36	1	1	1	1	2
日発売	9353	-5.58	12	15	480	4	0	0	0	3
天正	9312	-5.03	48	51	38	3	3	3	3	2
on	9183	-3.97	54	71	93	5	5	5	5	2
年まで	9155	-4.08	28	37	588	16	0	0	0	3
秒	9107	-4.85	0	3	8	8	8	8	8	1
および	9071	-5.06	2	6	52	5	0	0	0	3
枚目のシングル	8951	-6.9	2	2	21	15	0	0	0	7
本	8924	-4.38	0	42	85	85	85	85	85	1
年と	8848	-4.99	142	147	588	5	5	5	5	2
において	8795	-5.03	6	10	309	6	0	0	0	4
となった	8775	-4.0	10	23	441	12	0	0	0	4
年の第	8746	-4.4	34	40	588	67	0	0	0	3
以降	8741	-4.26	10	16	42	5	5	5	5	2
彼は	8678	-5.2	164	168	16	2	2	2	2	2
系	8659	-4.65	0	8	15	15	15	15	15	1
月現在	8599	-5.31	6	10	178	4	0	0	0	3
平方マイル	8577	-7.68	0	0	29	7	0	0	0	5
時間	8567	-3.97	54	60	52	14	14	14	14	2
翌年	8531	-4.61	36	40	17	6	6	6	6	2
代	8523	-4.51	0	13	29	29	29	29	29	1
通称	8516	-5.58	34	36	22	2	2	2	2	2
来歴	8516	-6.56	14	14	2	1	1	1	1	2
love	8490	-5.07	4	6	170	29	0	0	0	4
人物	8483	-4.89	50	52	103	1	1	1	1	2
となる	8442	-4.06	14	22	441	12	0	0	0	3
www	8325	-6.54	6	6	141	3	0	0	0	3
同	8296	-4.42	0	15	55	55	55	55	55	1
両	8266	-4.56	0	8	22	22	22	22	22	1
world	8211	-6.69	2	4	141	22	0	0	0	5
しかしながら	8187	-8.13	0	0	64	12	0	0	0	6
度	8163	-4.53	0	14	26	26	26	26	26	1
サン	8110	-3.96	106	116	108	28	28	28	28	2
ラ	8091	-4.37	0	24	96	96	96	96	96	1
にて	8055	-4.51	22	25	309	9	9	9	9	2
その	8053	-4.13	166	184	169	97	97	97	97	2
メートル	8009	-5.44	0	3	67	7	0	0	0	4
すなわち	7922	-8.43	0	0	19	1	0	0	0	4
km²	7888	-5.21	10	13	114	21	0	0	0	3
これにより	7831	-5.04	2	3	234	46	0	0	0	5
フランス	7815	-4.24	8	18	203	37	0	0	0	4
co	7760	-3.61	88	101	370	105	105	105	105	2
ii	7751	-4.25	76	83	138	3	3	3	3	2
現在は	7696	-5.34	6	10	45	16	0	0	0	3
人である	7694	-4.37	70	74	103	6	0	0	0	4
原題	7591	-5.46	20	23	17	3	3	3	3	2
年間	7516	-4.36	110	117	588	15	15	15	15	2
y	7513	-4.49	0	11	32	32	32	32	32	1
その他	7482	-4.47	32	38	169	97	0	0	0	3
旧	7478	-4.62	0	7	17	17	17	17	17	1
万円	7450	-4.75	28	32	50	6	6	6	6	2
敗	7435	-4.74	0	6	11	11	11	11	11	1
慶長	7412	-5.84	46	47	7	2	2	2	2	2
you	7373	-5.88	0	4	32	10	0	0	0	3
z	7340	-4.6	0	16	19	19	19	19	19	1
年は	7274	-4.64	240	255	588	2	2	2	2	2
後に	7263	-4.71	106	113	25	3	3	3	3	2
毎年	7235	-5.33	40	42	18	1	1	1	1	2
つ	7186	-4.44	0	10	46	46	46	46	46	1
部	7145	-4.58	0	24	20	20	20	20	20	1
項	7132	-4.89	0	3	7	7	7	7	7	1
シリーズ	7112	-4.88	2	9	149	13	0	0	0	4
体重	6961	-5.71	14	17	12	2	2	2	2	2
is	6947	-3.95	82	97	138	13	13	13	13	2
つまり	6940	-6.2	2	3	46	1	0	0	0	3
uss	6873	-5.29	10	12	66	9	0	0	0	3
la	6863	-4.04	90	98	170	33	33	33	33	2
となっている	6781	-4.58	8	14	441	12	0	0	0	6
windows	6749	-9.27	0	1	141	29	0	0	0	7
アメリカ	6697	-3.94	2	11	330	40	0	0	0	4
シーズン	6621	-4.98	0	10	149	27	0	0	0	4
戦	6552	-4.47	0	22	38	38	38	38	38	1
の第	6551	-4.74	108	116	200	1	1	1	1	2
その結果	6549	-5.3	2	3	169	97	0	0	0	4
live	6547	-4.88	16	19	170	42	0	0	0	4
年後の	6536	-4.97	30	35	588	5	0	0	0	3
歴史	6506	-5.27	16	20	10	9	9	9	9	2
cd	6501	-4.12	86	93	370	9	9	9	9	2
丁目	6427	-4.86	40	48	7	5	5	5	5	2
年以降	6405	-4.69	12	17	588	9	0	0	0	3
ジョージ	6319	-5.22	6	8	138	36	0	0	0	4
ウィリアム	6275	-6.41	0	2	106	27	0	0	0	5
着	6241	-4.56	0	2	22	22	22	22	22	1
東京都出身	6225	-5.71	2	3	77	39	0	0	0	5
日まで	6200	-4.23	28	34	480	13	0	0	0	3
年頃	6170	-4.82	94	97	588	8	8	8	8	2
ちなみに	6167	-8.01	0	0	15	1	0	0	0	4
代目	6157	-4.73	42	47	29	5	5	5	5	2
japan	6140	-6.77	0	0	125	26	0	0	0	5
music	6117	-6.74	0	1	316	16	0	0	0	5
及び	6113	-5.33	2	5	4	4	4	4	4	2
dvd	6051	-5.64	2	4	216	3	0	0	0	3
東京	6015	-4.13	36	42	77	39	39	39	39	2
日本	5967	-3.5	90	108	480	171	171	171	171	2
jst	5948	-5.45	10	14	125	4	0	0	0	3
jp	5931	-5.19	68	71	125	3	3	3	3	2
作曲	5916	-4.85	44	51	38	3	3	3	3	2
年代から	5911	-5.16	14	18	588	46	0	0	0	4
結局	5851	-5.71	10	12	11	2	2	2	2	2
あるいは	5825	-7.72	0	0	65	7	0	0	0	4
日現在	5797	-5.51	6	8	480	3	0	0	0	3
