word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
ya	170594	-2.4	52	62	337	255	255	255	255	2
na	125594	-2.7	72	96	589	141	141	141	141	2
wa	114032	-1.53	56	69	1499	1297	1297	1297	1297	2
kwa	54302	-3.21	14	21	3068	39	0	0	0	3
katika	51669	-5.41	6	12	3068	292	0	0	0	6
ni	46710	-2.69	70	77	589	71	71	71	71	2
la	33651	-2.86	68	82	548	99	99	99	99	2
za	27382	-2.82	46	52	433	46	46	46	46	2
mwaka	22729	-4.45	14	16	2330	171	0	0	0	5
kama	18400	-4.63	28	35	3068	292	0	0	0	4
cha	16613	-3.03	14	24	565	192	0	0	0	3
mji	13857	-4.06	16	22	2330	17	0	0	0	3
kuwa	13602	-2.54	26	33	3068	1459	0	0	0	4
yake	10754	-5.35	20	23	337	255	0	0	0	4
au	10296	-3.74	84	95	1768	30	30	30	30	2
kutoka	9990	-4.66	12	16	3068	1459	0	0	0	6
pia	9771	-4.01	36	41	548	54	0	0	0	3
nchini	9372	-7.22	2	3	589	5	0	0	0	6
hii	9070	-5.99	22	29	988	74	0	0	0	3
watu	8347	-4.83	14	16	1499	1297	0	0	0	4
zaidi	7985	-6.35	4	6	433	46	0	0	0	5
baada	7942	-6.09	4	7	662	204	0	0	0	5
nchi	7660	-5.88	4	6	589	5	0	0	0	4
kati	7638	-4.1	32	37	3068	292	0	0	0	4
lugha	7505	-5.83	0	0	548	43	0	0	0	5
wakazi	7481	-5.54	10	11	1499	1297	0	0	0	6
jina	7455	-5.07	24	28	262	41	0	0	0	4
vya	7362	-4.32	6	10	419	27	0	0	0	3
wake	7361	-4.59	26	29	1499	1297	0	0	0	4
wakati	6927	-5.1	4	5	1499	1297	0	0	0	6
lakini	6875	-6.57	2	3	548	99	0	0	0	6
kwenye	6756	-7.21	4	6	3068	39	0	0	0	6
pamoja	6251	-7.68	0	0	548	160	0	0	0	6
alikuwa	6227	-5.28	10	17	1768	628	0	0	0	7
kwanza	6121	-5.8	6	8	3068	39	0	0	0	6
wilaya	6039	-7.27	0	1	1499	71	0	0	0	6
juu	5800	-5.34	10	12	262	57	0	0	0	3
hadi	5781	-4.58	30	36	988	313	0	0	0	4
mkoa	5564	-5.03	6	8	2330	65	0	0	0	4
miaka	5422	-5.59	8	12	2330	313	0	0	0	5
mara	5336	-3.62	38	45	2330	907	0	0	0	4
moja	5280	-4.87	8	11	2330	124	0	0	0	4
eneo	5277	-5.74	6	8	292	35	0	0	0	4
idadi	5202	-6.76	0	1	1151	12	0	0	0	5
mkuu	5131	-5.49	4	8	2330	65	0	0	0	4
mnamo	4968	-7.08	0	1	2330	19	0	0	0	5
sehemu	4804	-7.45	0	2	923	102	0	0	0	6
hasa	4753	-5.33	26	29	988	313	0	0	0	4
marekani	4590	-7.16	0	0	2330	907	0	0	0	8
huu	4520	-4.16	16	23	988	419	0	0	0	3
ambayo	4492	-6.09	12	15	1768	141	0	0	0	6
sensa	4451	-6.8	0	0	923	102	0	0	0	5
kata	4451	-4.11	38	44	3068	292	0	0	0	4
ilikuwa	4437	-5.45	6	14	1151	386	0	0	0	7
tanzania	4408	-8.18	0	0	598	154	0	0	0	8
ndani	4387	-5.34	2	5	589	42	0	0	0	5
kwamba	4339	-6.26	6	7	3068	39	0	0	0	6
hivyo	4304	-6.03	6	8	988	74	0	0	0	5
sana	4297	-3.92	48	56	923	191	0	0	0	4
kuna	4291	-3.94	32	36	3068	1459	0	0	0	4
nyingi	4101	-6.72	0	1	589	86	0	0	0	6
ina	4029	-2.74	32	45	1151	360	0	0	0	3
kazi	3944	-4.54	18	21	3068	292	0	0	0	4
kusini	3932	-5.22	4	5	3068	1459	0	0	0	6
afrika	3921	-6.55	2	2	1768	27	0	0	0	6
jimbo	3884	-6.87	8	8	262	41	0	0	0	5
hiyo	3837	-5.88	14	17	988	74	0	0	0	4
hata	3721	-4.58	32	37	988	313	0	0	0	4
kubwa	3714	-4.2	8	12	3068	1459	0	0	0	5
sababu	3592	-5.81	2	3	923	191	0	0	0	6
chini	3586	-4.93	2	4	565	192	0	0	0	5
kundi	3503	-4.64	12	13	3068	1459	0	0	0	5
mujibu	3499	-7.37	4	4	2330	111	0	0	0	6
wapatao	3469	-7.76	0	0	1499	1297	0	0	0	7
yao	3419	-4.51	30	39	337	255	0	0	0	3
huko	3363	-3.94	16	18	988	419	0	0	0	4
iliyofanyika	3358	-8.17	0	0	1151	386	0	0	0	12
kenya	3344	-5.94	6	10	3068	58	0	0	0	5
tu	3327	-3.3	60	68	598	85	85	85	85	2
makala	3275	-5.96	8	9	2330	907	0	0	0	6
kila	3245	-4.2	34	38	3068	1016	0	0	0	4
mbalimbali	3216	-9.12	0	0	2330	66	0	0	0	10
lake	3186	-5.96	22	24	548	99	0	0	0	4
tarehe	3062	-7.98	0	1	598	154	0	0	0	6
bahari	3032	-6.26	8	10	662	204	0	0	0	6
kaskazini	2989	-9.69	0	0	3068	292	0	0	0	9
kristo	2963	-7.18	0	2	3068	25	0	0	0	6
wengi	2953	-5.83	10	10	1499	69	0	0	0	5
mashariki	2945	-7.58	0	0	2330	907	0	0	0	9
kawaida	2943	-8.14	0	0	3068	292	0	0	0	7
ambao	2938	-5.79	2	11	1768	141	0	0	0	5
the	2919	-4.24	12	20	598	69	0	0	0	3
ili	2904	-2.84	20	31	1151	386	0	0	0	3
mjini	2893	-6.23	4	8	2330	17	0	0	0	5
tangu	2866	-5.52	14	16	598	154	0	0	0	5
vile	2847	-4.7	20	23	419	294	0	0	0	4
upande	2839	-6.18	4	5	1238	67	0	0	0	6
inahusu	2828	-7.12	2	5	1151	360	0	0	0	7
hali	2822	-4.33	34	38	988	313	0	0	0	4
aina	2802	-4.64	18	26	1768	24	0	0	0	4
mungu	2771	-5.65	12	15	2330	111	0	0	0	5
kutokana	2754	-6.03	0	0	3068	1459	0	0	0	8
maisha	2749	-5.33	0	1	2330	907	0	0	0	6
njia	2741	-4.81	2	6	589	18	0	0	0	4
kanisa	2627	-6.39	4	5	3068	292	0	0	0	6
hili	2590	-4.83	32	34	988	74	0	0	0	4
siku	2585	-6.31	4	5	923	116	0	0	0	4
papa	2574	-5.24	20	26	548	160	0	0	0	4
albamu	2565	-7.24	2	3	1768	628	0	0	0	6
mwa	2561	-2.68	18	27	2330	171	0	0	0	3
muda	2534	-5.48	10	12	2330	111	0	0	0	4
wimbo	2492	-6.11	8	8	1499	71	0	0	0	5
uingereza	2441	-10.04	0	0	1238	10	0	0	0	9
huo	2419	-3.98	16	24	988	419	0	0	0	3
serikali	2408	-8.01	0	1	923	102	0	0	0	8
maji	2400	-3.31	22	26	2330	907	0	0	0	4
dunia	2369	-5.93	0	1	401	40	0	0	0	5
magharibi	2364	-9.32	0	0	2330	907	0	0	0	9
tofauti	2358	-7.68	2	3	598	74	0	0	0	7
nafasi	2356	-6.87	0	1	589	141	0	0	0	6
vita	2344	-4.02	30	34	419	294	0	0	0	4
baadaye	2326	-8.99	2	4	662	204	0	0	0	7
filamu	2314	-7.45	0	1	358	63	0	0	0	6
historia	2297	-8.99	0	0	988	74	0	0	0	8
karibu	2270	-6.08	6	7	3068	292	0	0	0	6
humo	2268	-5.37	14	16	988	419	0	0	0	4
kabla	2234	-6.26	0	1	3068	292	0	0	0	5
wote	2229	-5.62	20	20	1499	31	0	0	0	4
tena	2224	-5.22	14	17	598	84	0	0	0	4
m	2204	-4.3	0	35	2330	2330	2330	2330	2330	1
maeneo	2190	-6.95	0	1	2330	907	0	0	0	6
wao	2186	-3.93	38	47	1499	1297	0	0	0	3
karne	2182	-6.13	2	3	3068	292	0	0	0	5
wasemaji	2178	-7.44	0	0	1499	1297	0	0	0	8
pili	2151	-5.25	14	16	548	54	0	0	0	4
mbili	2142	-5.57	10	11	2330	66	0	0	0	5
mto	2142	-4.14	14	21	2330	71	0	0	0	3
mtu	2141	-4.13	18	21	2330	71	0	0	0	3
wengine	2108	-7.77	4	7	1499	69	0	0	0	7
