Speaker,Modality,Verb,SemanticClass,LengthOfRecipient,AnimacyOfRec,DefinOfRec,PronomOfRec,LengthOfTheme,AnimacyOfTheme,DefinOfTheme,PronomOfTheme,RealizationOfRecipient,AccessOfRec,AccessOfTheme
NA,written,feed,t,1,animate,definite,pronominal,14,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,nonpronominal,13,inanimate,definite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,c,2,animate,definite,nonpronominal,3,inanimate,definite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,pay,t,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,bring,a,1,animate,definite,pronominal,1,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,teach,a,1,animate,definite,pronominal,11,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,offer,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,inanimate,definite,nonpronominal,3,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,pay,t,1,animate,definite,pronominal,5,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,2,animate,indefinite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,c,1,animate,indefinite,nonpronominal,8,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,send,t,4,animate,indefinite,nonpronominal,35,inanimate,indefinite,nonpronominal,NP,new,new
NA,written,pay,t,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,grant,a,2,animate,definite,nonpronominal,4,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,nonpronominal,6,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,13,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,4,animate,definite,nonpronominal,18,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,grant,a,2,animate,definite,nonpronominal,12,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,indefinite,nonpronominal,10,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,2,inanimate,definite,nonpronominal,23,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,inanimate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,3,animate,definite,nonpronominal,13,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,3,animate,definite,nonpronominal,18,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,send,t,1,animate,definite,pronominal,1,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,send,c,1,animate,definite,pronominal,2,inanimate,definite,nonpronominal,NP,given,given
NA,written,deny,p,2,animate,definite,nonpronominal,18,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,give,a,1,animate,definite,nonpronominal,10,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,10,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,2,inanimate,indefinite,nonpronominal,NP,given,given
NA,written,hand,t,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,owe,f,2,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,bring,a,1,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,accessible
NA,written,cost,p,2,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,c,1,animate,definite,pronominal,7,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,1,animate,definite,pronominal,2,inanimate,definite,nonpronominal,NP,given,accessible
NA,written,cost,p,6,animate,indefinite,nonpronominal,5,inanimate,indefinite,nonpronominal,NP,accessible,new
NA,written,give,a,1,animate,indefinite,nonpronominal,34,inanimate,definite,nonpronominal,NP,accessible,accessible
NA,written,cost,p,1,animate,definite,pronominal,2,inanimate,indefinite,nonpronominal,NP,given,accessible
NA,written,give,a,2,animate,definite,nonpronominal,7,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,6,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,offer,t,1,animate,indefinite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,new
NA,written,give,a,1,animate,definite,pronominal,6,inanimate,definite,nonpronominal,NP,given,given
NA,written,give,a,2,animate,definite,nonpronominal,3,inanimate,indefinite,nonpronominal,NP,given,given
