RTlexdec,RTnaming,Familiarity,Word,AgeSubject,WordCategory,WrittenFrequency,WrittenSpokenFrequencyRatio,FamilySize,DerivationalEntropy,InflectionalEntropy,NumberSimplexSynsets,NumberComplexSynsets,LengthInLetters,Ncount,MeanBigramFrequency,FrequencyInitialDiphone,ConspelV,ConspelN,ConphonV,ConphonN,ConfriendsV,ConfriendsN,ConffV,ConffN,ConfbV,ConfbN,NounFrequency,VerbFrequency,CV,Obstruent,Frication,Voice,FrequencyInitialDiphoneWord,FrequencyInitialDiphoneSyllable,CorrectLexdec
6.54375355965694,6.14504363503628,2.37,doe,young,N,3.91202300542815,1.02165124753198,1.38629436111989,0.14144,0.02114,0.693147180559945,0,3,8,7.036333,12.02268,10,3.73766961828337,41,8.8378263640077,8,3.29583686600433,0.693147180559945,2.70805020110221,3.49650756146648,8.83389994290864,49,0,C,obst,burst,voiced,10.1293075190537,10.4097628392033,27
6.30494228210337,6.14375635745024,5.6,stress,young,N,6.50578406012823,2.08935599873702,1.6094379124341,0.06197,1.44339,2.484906649788,1.94591014905531,6,0,9.883931,13.30069,10,6.69332366826995,13,7.04053639021596,10,6.69332366826995,0,0,1.38629436111989,5.8171111599632,565,473,C,obst,frication,voiceless,12.422026412175,13.1273946990515,30
6.42422051545205,6.1318784508232,3.87,pork,young,N,5.01727983681492,-0.526333885688455,1.94591014905531,0.43035,0,1.09861228866811,2.63905732961526,4,8,8.30918,12.07807,5,6.67708346124714,6,3.8286413964891,4,3.52636052461616,0.693147180559945,6.63463335786169,1.09861228866811,2.56494935746154,150,0,C,obst,burst,voiceless,10.0481505087767,11.0036486411941,30
6.45059679646508,6.19847871649231,3.93,plug,young,N,4.89034912822175,-1.04454506739783,2.19722457733622,0.3592,1.75393,2.484906649788,2.484906649788,4,3,7.943717,11.92678,17,4.76217393479776,17,4.76217393479776,17,4.76217393479776,0,0,0,0,170,120,C,obst,burst,voiceless,11.7963359270711,12.1630920729557,26
6.53197032497538,6.16772611252206,3.27,prop,young,N,4.77068462446567,0.924801421542064,1.38629436111989,0.06268,1.7473,1.6094379124341,1.38629436111989,4,9,8.34962,12.19724,19,6.23441072571837,21,6.24997524225948,19,6.23441072571837,0,0,1.09861228866811,2.19722457733622,125,280,C,obst,burst,voiceless,11.9915666826116,12.4367715828974,28
6.37058567987654,6.1238077340957,3.73,dawn,young,N,6.383506634884,-0.015421022994814,1.09861228866811,0,0.77898,1.79175946922805,1.09861228866811,4,6,7.699792,11.32815,10,4.77912349311153,13,8.86432272251144,10,4.77912349311153,0,0,1.38629436111989,8.84750362592364,582,110,C,obst,burst,voiced,9.4081250888235,9.77241028892919,30
6.2668589342206,6.09604976229806,5.67,dog,young,N,7.15929190479756,-1.04821897388722,3.68887945411394,1.03052,1.05129,2.07944154167984,4.46590811865458,3,13,7.139341,12.02268,13,4.79579054559674,7,4.77068462446567,6,3.76120011569356,1.94591014905531,1.38629436111989,0,0,2061,76,C,obst,burst,voiced,9.75533551151227,10.2550243186187,28
6.60864818886089,6.11765657234574,3.1,arc,young,N,4.89034912822175,2.91626810219974,1.6094379124341,0.15894,0.57715,1.6094379124341,2.07944154167984,3,3,7.747861,13.29079,1,3.73766961828337,11,6.0913098820777,0,0,0,0,2.39789527279837,5.99396142730657,144,4,V,cont,long,voiced,6.42486902390539,6.53813982376767,25
6.28484286510464,6.17918815319093,4.43,skirt,young,N,5.92958914338989,-0.0787325207845102,1.79175946922805,0.06664,1.34797,1.94591014905531,2.07944154167984,5,3,8.561149,10.3889,7,4.62497281328427,14,5.16478597392351,7,4.62497281328427,0,0,2.07944154167984,4.30406509320417,522,86,C,obst,frication,voiceless,11.1290114546924,11.5785633815511,29
6.60716356790878,6.1966477730452,3.27,spree,young,N,3.40119738166216,1.42711635564015,0.693147180559945,0,0.44886,1.09861228866811,0,5,1,9.153887,11.50982,15,7.5137092478397,38,10.1328119629254,14,7.5137092478397,0.693147180559945,0,3.2188758248682,10.0571952771303,32,0,C,obst,frication,voiceless,12.0300512012847,12.4928443036806,24
6.41439294709245,6.1845611770699,6.73,are,young,N,11.2796936982972,0.284135205136403,2.70805020110221,1.91032,2.2e-4,0.693147180559945,0,3,9,8.369135,13.29079,21,8.51036996606811,15,8.57149196482362,0,0,3.04452243772342,6.35088571671474,2.70805020110221,6.78671695060508,1,0,V,cont,long,voiced,9.28609698437543,9.3122649916981,23
6.63358155655515,6.1978687744179,1.72,sprig,young,N,3.52636052461616,2.2454266791541,1.09861228866811,0.50326,0.89604,1.09861228866811,0,5,1,8.913321,11.50982,16,6.19031540585315,15,6.18826412308259,15,6.18826412308259,0.693147180559945,0.693147180559945,0,0,48,0,C,obst,frication,voiceless,12.0300512012847,12.4928443036806,15
6.33315528648419,6.14311209671712,3.3,pipe,young,N,5.99893656194668,0.335976081810737,3.13549421592915,1.33777,1.3377,2.30258509299405,3.85014760171006,4,6,7.912189,11.17479,8,3.95124371858143,9,5.52942908751142,8,3.95124371858143,0,0,0.693147180559945,5.30330490805908,558,73,C,obst,burst,voiceless,9.22335530905368,9.64723954557388,29
6.47212988777908,6.22594360808594,2.23,hooch,young,N,1.94591014905531,-0.0281708769666963,0.693147180559945,0,0,0.693147180559945,0,5,2,8.930248,12.69734,0,0,0,0,0,0,0,0,0,0,6,0,C,obst,frication,voiceless,11.4617690033259,11.8410486594195,21
6.32597056627565,6.15634319029022,4.33,guard,young,N,6.59441345974978,1.55227949859415,3.17805383034795,1.50704,1.58535,2.63905732961526,3.40119738166216,5,0,8.44458,10.6147,1,3.89182029811063,14,5.8111409929767,1,3.89182029811063,0,0,2.63905732961526,5.65599181081985,935,329,C,obst,burst,voiced,8.96941465086618,9.69634037430652,29
6.47245448030239,6.12970359133175,3.8,tile,young,N,4.07753744390572,-0.669132304356071,1.79175946922805,0.118,1.61022,1.38629436111989,1.79175946922805,4,13,8.942925,13.2514,11,6.82110747225646,19,6.93731408122368,11,6.82110747225646,0,0,2.19722457733622,4.7361984483945,174,60,C,obst,burst,voiceless,11.0708171191632,11.424848065435,27
6.44974345970876,6.16583793405276,4.1,slope,young,N,5.80211837537706,1.81313432881279,1.09861228866811,0,1.60693,1.38629436111989,1.38629436111989,5,1,8.733826,10.60569,13,5.72358510195238,15,5.79301360838414,13,5.72358510195238,0,0,1.09861228866811,3.13549421592915,464,143,C,obst,frication,voiceless,10.0800844211932,10.2216867057979,28
6.38820840207076,6.14953610167848,4.66,pile,young,N,6.16120732169508,0.347673983079757,2.19722457733622,0.29719,1.65206,2.30258509299405,2.56494935746154,4,14,8.334696,11.17479,11,6.82110747225646,19,6.93731408122368,11,6.82110747225646,0,0,2.19722457733622,4.7361984483945,532,371,C,obst,burst,voiceless,9.22335530905368,9.64723954557388,29
6.37587624601831,6.17960248922338,4.13,greed,young,N,5.03043792139244,1.351608803132,1.94591014905531,0.9975,0,1.09861228866811,0,5,4,9.137255,11.50271,16,6.5191472879404,24,6.76041469108343,16,6.5191472879404,0,0,2.19722457733622,5.2257466737132,152,0,C,obst,burst,voiced,11.3199473279877,11.7487166961178,30
6.42433403479506,6.2093945313693,3.4,plum,young,N,3.97029191355212,-0.355164369633365,1.38629436111989,0.29338,0.99901,1.09861228866811,3.98898404656427,4,4,7.852441,11.92678,15,4.59511985013459,23,8.8175940362758,15,4.59511985013459,0,0,2.19722457733622,8.80297345657842,108,0,C,obst,burst,voiceless,11.7963359270711,12.1630920729557,27
