Word,Log10Freq,length,RT
zenith,1.3424226808222062,5,753.69
zephyr,1.6989700043360187,4,874.58
zeroed,1.3010299956639813,5,929.23
zeros,1.6989700043360187,5,625.09
zest,1.5440680443502757,4,658.82
zigzag,1.3617278360175928,6,785.26
zigzagging,0.47712125471966244,8,955.4
zinc,1.6334684555795864,4,624.03
zing,1.7781512503836436,3,810.3
zip,2.5899496013257077,3,586.94
zipped,1.4313637641589874,4,668.29
zipper,2.1583624920952498,4,716.52
zippy,1.2787536009528289,4,674.66
zodiac,1.4913616938342726,6,714.06
zodiacal,0.3010299956639812,8,1159.21
zombie,2.2648178230095364,5,706.28
zombies,2.060697840353612,6,737.56
zone,3.0111473607757975,3,577.73
zoned,1.255272505103306,4,736.3
zones,1.954242509439325,4,605.23
zoning,1.7853298350107671,5,726.43
zoo,2.842609239610562,2,572.56
zoologist,1.0791812460476249,9,714.09
zoology,1.2304489213782739,7,685.28
zoom,2.2576785748691846,3,549.76
zooming,1.505149978319906,5,709.69
zooms,0.47712125471966244,4,666.93
zucchini,1.6901960800285136,6,848.68
wizardry,1.3010299956639813,7,805.64
wobble,1.4771212547196624,4,748.4
wobbled,0.3010299956639812,5,755.4
wobbling,1.0413926851582251,6,809.33
wobbly,1.568201724066995,5,823.54
woe,2.0755469613925306,2,734.84
woebegone,0,7,863.33
woeful,0.8450980400142568,4,821.48
woke,3.1283992687178066,3,704.9
wolf,3.0145205387579237,4,581.5
wolfhound,0,8,807.82
wolves,2.4800069429571505,5,640.16
woman,4.345687328898848,5,545.7
womanhood,1.591064607026499,8,848.09
womanish,0.8450980400142568,7,857.45
womanize,0,7,845.55
womanizer,1.3222192947339193,8,768.82
womankind,0.9542425094393249,9,900.56
womanly,0.9030899869919435,7,707.68
womb,2.247973266361807,3,700.88
wombat,1.1760912590556813,6,770.52
women,3.9990434996031627,5,653.88
womenfolk,0.9030899869919435,8,762.13
won,4.588036283454229,3,659.9
wonder,3.7756832490260437,5,590.88
wondered,2.8808135922807914,6,639.88
wonderful,3.9224140241456342,7,625.77
wonderfully,2.0569048513364727,8,646.42
wonderfulness,0.47712125471966244,10,850.55
wondering,3.509336958017644,7,740.37
wonders,2.4727564493172123,6,612.03
wondrous,1.919078092376074,7,842.08
wondrously,0,9,846.28
wont,1.9084850188786497,4,877.12
woo,2.5352941200427703,2,746.73
wood,3.1389339402569236,3,595.42
woodblock,0,7,812.79
woodcarver,0.3010299956639812,8,820.72
woodcock,0.6020599913279624,6,871.96
woodcraft,0,8,661.68
woodcutter,1.0791812460476249,7,777.81
woodcutters,0,8,779.13
wooded,1.2304489213782739,5,754.97
wooden,2.5646660642520893,4,703.73
woodland,1.7558748556724915,7,745.41
woodpecker,1.6989700043360187,7,696.37
woodpile,1.0413926851582251,6,780.47
woods,3.170848203643309,4,573.88
woodshed,1.3424226808222062,6,845.03
woodsman,1.3617278360175928,7,778.5
woodwind,1.1760912590556813,7,735
woodwork,1.6334684555795864,6,761.91
woodworking,0.6989700043360189,8,742.69
woodworm,0,6,938.88
wooed,1.2041199826559248,3,828.59
woof,2.1492191126553797,3,720.39
wool,2.2068258760318495,3,657.94
woolen,1.462397997898956,5,676.46
woollen,0.47712125471966244,5,811.56
woolly,1.380211241711606,4,818.48
woozy,1.6334684555795864,4,666
word,4.079651477073845,3,620.22
worded,1.146128035678238,5,671.66
wording,1.146128035678238,5,660.06
wordless,0.3010299956639812,6,694.18
wordplay,0.9542425094393249,6,743.53
words,3.7939998009844706,4,598.45
wordy,0.9030899869919435,4,696.13
wore,3.03382569395331,3,760.09
work,4.6095837384680385,3,633.15
workable,1.2304489213782739,6,712.77
workbench,1,7,738.27
workbook,0.7781512503836436,6,711.79
workday,1.1139433523068367,5,660.56
worked,3.7691556907143986,4,708.65
worker,2.7466341989375787,4,588.14
workers,2.7745169657285498,5,628.09
workhorse,0.6989700043360189,7,662.66
workhouse,1.2041199826559248,6,766.97
working,4.10636090880675,5,531.82
workingmen,0.3010299956639812,8,969.72
workings,1.6232492903979006,6,598.22
workman,1.6020599913279623,6,637.07
workmanship,1.4471580313422192,9,785.03
workmen,1.6989700043360187,6,708
workout,2.1492191126553797,5,583.6
workouts,1.0791812460476249,6,695.5
workroom,1.0413926851582251,6,748.13
works,3.7289216463728594,4,672.25
worksheet,0.6989700043360189,6,727.09
workshop,2.155336037465062,6,681.31
workshops,1.1760912590556813,7,722.66
world,4.365787395093661,4,570.82
worldly,1.8864907251724818,6,870.12
worlds,2.656098202012832,5,680.45
worldwide,2.2068258760318495,7,646.75
worm,2.7126497016272113,3,638.64
wormhole,1.9912260756924949,6,952.69
worms,2.506505032404872,4,630.11
wormwood,1.3617278360175928,6,755.5
wormy,1.0413926851582251,4,705.42
worn,2.710963118995276,4,575.67
worried,3.6840370374865197,5,597.38
worriedly,0,7,792.64
worries,2.7331972651065692,5,613.09
worrisome,1.0791812460476249,6,935.62
worry,4.165481742822164,4,569.7
worrying,2.9175055095525466,6,630.13
worse,3.699143687394484,3,653.18
worsen,1.3010299956639813,4,791.38
worsened,0.9542425094393249,5,823.63
worsens,1.1139433523068367,5,815.04
worship,2.611723308007342,5,610.56
worshiped,1.3424226808222062,6,663.06
worshipful,0.6989700043360189,7,958.74
worshiping,0.47712125471966244,7,704.53
worshipped,1.9912260756924949,6,760.84
worshippers,1.255272505103306,7,772.15
worshipping,1.591064607026499,7,757.44
worst,3.4584867637982066,4,701.67
worsted,0.8450980400142568,6,819.73
wort,1.2787536009528289,3,732.7
worthiest,0.47712125471966244,7,862.73
worthless,2.6748611407378116,6,703.53
worthlessness,0.3010299956639812,9,949.5
worthwhile,2.3138672203691533,7,824.53
worthy,2.7218106152125467,4,669.31
would,4.955023536792821,3,638.94
wound,3.131297796597623,4,575.94
wounded,2.9965116721541785,6,635.58
wounding,1.255272505103306,6,759.19
wounds,2.8555191556678,5,629.12
wove,1.0791812460476249,3,881.82
woven,1.505149978319906,4,712.3
wrack,0.6989700043360189,3,769.83
wraith,1,3,795.75
wrangle,1.255272505103306,5,791.78
wrangled,0.6989700043360189,6,762.97
wrangler,1,6,631.28
wrap,2.958085848521085,3,555.79
wrapped,2.7781512503836434,4,580.97
wrapper,1.9294189257142926,4,738
wrappers,1.462397997898956,5,677.67
wrapping,2.167317334748176,5,682.82
wraps,2.0681858617461617,4,610.63
wrath,2.298853076409707,3,705.66
wrathful,0.6989700043360189,5,832.73
wreak,1.4771212547196624,3,670.08
wreath,1.7323937598229686,3,677.45
wreathed,0,4,805.57
wreaths,1.2304489213782739,4,843.66
wreck,2.8432327780980096,3,625.13
wreckage,2.0253058652647704,5,788.82
wrecked,2.4345689040341987,4,700.47
wrecker,1.414973347970818,4,718.06
wrecking,2.037426497940624,5,743.82
wrench,2.305351369446624,4,637.44
wrenched,1.2041199826559248,5,719.33
wrenches,1.1760912590556813,6,764.63
wrenching,1,6,715.13
wrest,0.7781512503836436,4,682.63
wrestle,2.24551266781415,4,731.34
wrestler,1.9590413923210936,5,717.42
wrestles,0.47712125471966244,5,815.63
wrestling,2.649334858712142,6,630.19
wretch,1.919078092376074,3,826.46
wretched,2.2671717284030137,5,740.13
wretchedness,0.3010299956639812,8,915.35
wriggle,1.3222192947339193,4,762.58
wring,1.792391689498254,3,748.25
wringer,1.3222192947339193,4,815
wrings,0.47712125471966244,4,862.56
wrinkle,1.9822712330395684,5,652.47
wrinkled,1.9344984512435677,6,662.13
wrinkles,2.012837224705172,6,642.59
wrinkly,1.2304489213782739,6,777.29
wrist,2.7218106152125467,4,616.42
wristband,0.9542425094393249,8,735.76
wrists,2.346352974450639,5,699.52
wristwatch,1.7708520116421442,7,809.43
writ,1.9444826721501687,3,793.94
write,3.8107028609471167,3,608
writer,3.0791812460476247,4,661.59
writers,2.481442628502305,5,674.06
writes,2.6242820958356683,4,596.74
writhe,0.9542425094393249,3,811
writhing,1.3222192947339193,5,791.71
writing,3.4551495211798278,5,695.12
writings,1.7323937598229686,6,746.63
writs,0.3010299956639812,4,897.38
written,3.351603072419129,4,578.63
wrong,4.426153268215979,3,637.86
