PropertyBritish,Word,DominantModality,Sight,Touch,Sound,Taste,Smell,ModalityExclusivity
abrasive,abrasive,Haptic,2.894736842,3.684210526,1.684210526,0.578947368,0.578947368,0.329608939
absorbent,absorbent,Visual,4.142857143,3.142857143,0.714285714,0.476190476,0.476190476,0.409574468
aching,aching,Haptic,2.047619048,3.666666667,0.666666667,0.047619048,0.095238095,0.554744526
acidic,acidic,Gustatory,2.19047619,1.142857143,0.476190476,4.19047619,2.904761905,0.340611354
acrid,acrid,Olfactory,1.125,0.625,0.375,3,3.5,0.362318841
adhesive,adhesive,Haptic,3.666666667,4.333333333,1.19047619,0.904761905,1.761904762,0.289156627
alcoholic,alcoholic,Gustatory,2.85,0.35,0.75,4.35,4.3,0.317460317
alive,alive,Visual,4.571428571,3.80952381,4.095238095,1.571428571,2.380952381,0.182608696
amber,amber,Visual,4.476190476,0.523809524,0.142857143,0.571428571,0.857142857,0.65942029
angular,angular,Visual,4.285714286,4.095238095,0.25,0.047619048,0.047619048,0.485675307
antiseptic,antiseptic,Olfactory,1.666666667,0.9,0.142857143,1.761904762,3.952380952,0.4522329
aromatic,aromatic,Olfactory,1.3,0.333333333,0.285714286,3.380952381,4.523809524,0.431410567
astringent,astringent,Gustatory,1.625,0.5,0.375,1.75,1.25,0.25
audible,audible,Auditory,1.142857143,0.285714286,4.952380952,0.047619048,0.047619048,0.757352941
banging,banging,Auditory,3.047619048,1.333333333,4.523809524,0,0.047619048,0.505319149
barbecued,barbecued,Gustatory,4.619047619,1.380952381,1.571428571,4.952380952,4.666666667,0.207756233
barking,barking,Auditory,3.380952381,0.476190476,5,0.142857143,0.523809524,0.51
beautiful,beautiful,Visual,4.619047619,2.761904762,2.904761905,2.80952381,2.80952381,0.116766467
beeping,beeping,Auditory,1.428571429,0.142857143,4.857142857,0,0.047619048,0.75
beery,beery,Gustatory,3.157894737,0.894736842,0.631578947,4.263157895,3.526315789,0.291139241
beige,beige,Visual,4.476190476,0.095238095,0.095238095,0.047619048,0.095238095,0.920792079
bent,bent,Visual,4.619047619,4.095238095,0,0.047619048,0,0.527173913
big,big,Visual,4.857142857,4.380952381,1.714285714,0.857142857,0.428571429,0.361867704
