Word,POS,SER,CorteseImag,Conc,Syst,Freq,Iconicity
a,Grammatical,NA,NA,1.46,NA,1041179,0.461538462
abide,Verb,NA,NA,1.68,NA,138,0.25
able,Adjective,1.73,NA,2.38,NA,8155,0.466666667
about,Grammatical,1.2,NA,1.77,NA,185206,-0.1
above,Grammatical,2.91,NA,3.33,NA,2493,1.0625
abrasive,Adjective,NA,NA,3.03,NA,23,1.3125
absorbent,Adjective,NA,NA,3.1,NA,8,0.923076923
academy,Noun,NA,NA,4.29,NA,633,0.692307692
accident,Noun,NA,NA,3.26,NA,4146,1.363636364
accordion,Noun,NA,NA,4.86,NA,67,-0.454545455
account,Noun,2.3,NA,3.08,NA,2280,-0.428571429
ache,Noun,4.82,3.8,3.43,-4.44E-05,127,1.153846154
aching,Verb,NA,NA,2.72,NA,105,0.25
acid,Noun,4.6,NA,4.25,NA,508,0.75
acidic,Adjective,NA,NA,3.54,NA,11,1
acrid,Adjective,NA,NA,2.68,NA,2,0.615384615
acrobat,Noun,NA,NA,4.46,NA,30,1
actuality,Noun,NA,NA,1.96,NA,24,-0.363636364
add,Verb,2.2,3.3,3,-1.57E-05,1686,-0.153846154
addition,Grammatical,NA,NA,2.89,NA,395,1.230769231
address,Noun,2.55,NA,3.89,NA,2666,-0.583333333
adhere,Verb,2.5,NA,2.62,NA,29,-0.4
adhesive,Noun,NA,NA,4.35,NA,47,1.333333333
administer,Verb,NA,NA,2.53,NA,85,0.25
administration,Noun,NA,NA,2.78,NA,387,0.384615385
admission,Noun,NA,NA,2.83,NA,181,0.090909091
advantage,Noun,NA,NA,2,NA,1125,-0.307692308
advice,Noun,2.45,NA,2.73,NA,2447,0.428571429
afford,Verb,2.4,NA,1.83,NA,2266,-0.066666667
afraid,Adjective,3,NA,2.7,NA,12631,1.333333333
after,Grammatical,1.6,NA,2.12,NA,34812,0.75
agility,Noun,NA,NA,2.38,NA,23,1.454545455
aim,Verb,1.27,3.9,3.27,2.23E-05,758,0.454545455
air,Noun,NA,4,4.11,5.71E-06,7090,1.3
airplane,Noun,NA,NA,4.96,NA,557,2.545454545
alarm,Noun,5.11,NA,4.47,NA,1522,1.090909091
albatross,Noun,NA,NA,4.81,NA,40,1
alcohol,Noun,NA,NA,4.76,NA,845,-0.846153846
alcoholic,Noun,NA,NA,3.37,NA,316,0.416666667
alive,Adjective,3.82,NA,3.14,NA,7878,1.384615385
all,Grammatical,1.4,2.3,2.27,NA,263255,-0.1
alligator,Noun,NA,NA,4.96,NA,178,1.090909091
alone,Adjective,2.8,NA,2.86,NA,15735,1.230769231
aloof,Adjective,3.2,NA,1.46,NA,33,0.714285714
aluminum,Noun,NA,NA,4.88,NA,115,0.9
am,Verb,1.5,1.8,1.96,NA,56438,0.583333333
amateur,Adjective,NA,NA,2.31,NA,334,-0.857142857
amber,Noun,5.5,NA,4.35,NA,473,0
amble,Verb,NA,NA,3.17,NA,5,0.4
ambulance,Noun,NA,NA,4.81,NA,1143,-0.818181818
amount,Noun,1.73,NA,2.74,NA,1262,0.692307692
amplifier,Noun,NA,NA,4.79,NA,16,2
an,Grammatical,1,1.2,1.46,NA,95071,-0.642857143
anaconda,Noun,NA,NA,4.93,NA,24,1.454545455
analogy,Noun,NA,NA,1.61,NA,58,0
anchor,Noun,5.2,NA,4.77,NA,378,2.166666667
and,Grammatical,1,1.3,1.52,NA,682780,0.5625
anger,Noun,4.82,NA,2.41,NA,991,1
angle,Noun,2.9,NA,3.5,NA,761,1.076923077
angry,Adjective,4,NA,2.53,NA,3008,1.769230769
angular,Adjective,NA,NA,3.07,NA,7,1.714285714
animal,Noun,NA,NA,4.61,NA,2320,-0.933333333
ankle,Noun,3.27,NA,4.81,NA,409,0.466666667
announcer,Noun,NA,NA,4.52,NA,574,1
another,Grammatical,NA,NA,2.69,NA,25970,0.117647059
answer,Verb,1.9,NA,2.89,NA,8986,0.5625
ant,Noun,3.08,6.7,4.86,5.22E-05,273,0.6
antelope,Noun,NA,NA,5,NA,50,-1.4
antiseptic,Adjective,NA,NA,3.85,NA,44,-0.428571429
any,Grammatical,1.3,NA,1.72,NA,56068,-0.3125
apartment,Noun,NA,NA,4.9,NA,4235,-0.3
ape,Noun,4.18,6.8,4.79,2.85E-05,493,1.2
appeal,Noun,2.73,NA,1.73,NA,663,0.357142857
appease,Verb,NA,NA,1.93,NA,25,0.923076923
applause,Noun,4.82,NA,4.29,NA,576,0.666666667
apple,Noun,4.6,NA,5,NA,1207,0.083333333
apricot,Noun,NA,NA,4.97,NA,32,-0.181818182
apron,Noun,2.91,NA,4.87,NA,136,0.1
arch,Noun,2.5,5.1,4.59,-6.44E-05,188,2.5
are,Verb,1.17,1.3,1.96,NA,265672,-0.9
area,Noun,NA,NA,3.72,NA,3821,-0.214285714
arf,Interjection,NA,NA,NA,NA,38,1.928571429
argue,Verb,3.2,NA,2.75,NA,1007,0.428571429
arm,Noun,2.5,6.8,4.96,1.39E-05,3336,0.2
armadillo,Name,NA,NA,4.9,NA,154,-1
armor,Noun,4.36,NA,4.76,NA,372,-0.3
army,Noun,4.27,NA,4.7,NA,4370,-0.545454545
aroma,Noun,NA,NA,3.67,NA,69,1.142857143
aromatic,Adjective,NA,NA,3.04,NA,14,1.25
around,Adverb,1.9,NA,1.96,NA,37573,0.6
arrange,Verb,1.82,NA,2.79,NA,791,0.428571429
arrangement,Noun,NA,NA,2.3,NA,482,0.666666667
arrest,Noun,3.36,NA,3.93,NA,3037,0.5
arsenal,Noun,NA,NA,3.86,NA,102,1
asbestos,Noun,NA,NA,4.52,NA,66,-0.615384615
ash,Noun,NA,5.7,4.96,-9.24E-07,469,0.538461538
ashes,Noun,NA,NA,4.92,NA,503,0.769230769
ashtray,Noun,NA,NA,4.97,NA,166,1.909090909
asinine,Adjective,NA,NA,1.67,NA,49,-0.615384615
asleep,Adjective,3.27,NA,3.71,NA,2541,0.454545455
asparagus,Noun,NA,NA,4.96,NA,50,-0.181818182
aspect,Noun,1.82,NA,1.82,NA,197,-0.333333333
asphalt,Noun,4.3,NA,4.83,NA,49,-1.6
astringent,Noun,NA,NA,3.21,NA,6,0.142857143
asymmetrical,Adjective,NA,NA,3.21,NA,6,-0.272727273
at,Grammatical,1,1.4,2.07,NA,164072,-0.166666667
athlete,Noun,4.2,NA,4.3,NA,235,0.2
atom,Noun,2.7,NA,3.34,NA,140,0.181818182
attempt,Noun,2.18,NA,2.22,NA,975,-0.272727273
attorney,Noun,NA,NA,4.52,NA,2060,-0.692307692
audible,Adjective,NA,NA,3.23,NA,36,0.923076923
aunt,Noun,3,6.2,4.17,4.16E-05,2815,0.2
authentic,Adjective,NA,NA,2.31,NA,230,0.454545455
autumn,Noun,6,NA,3.27,NA,193,0.5
avalanche,Noun,NA,NA,4.32,NA,173,1.181818182
avocado,Noun,NA,NA,4.89,NA,62,-1.363636364
avoid,Verb,2.6,NA,2.41,NA,1239,-0.166666667
awake,Adjective,4.5,NA,3.32,NA,1362,2.1
away,Adverb,1.9,NA,2.23,NA,37276,0.75
axe,Noun,4.18,6.3,5,1.53E-04,249,1.9
aye,Interjection,NA,1.7,2.09,3.13E-05,2236,1.727272727
azure,Noun,NA,NA,NA,NA,15,-0.5
baa,Interjection,NA,NA,NA,NA,52,2.818181818
babble,Verb,3.2,NA,3.31,NA,44,3.538461538
babbling,Verb,NA,NA,3.6,NA,158,3
