Angle,UglyCat,ID
FromBelow,ugly,ppt_1
FromBelow,not_ugly,ppt_1
Level,not_ugly,ppt_1
Level,not_ugly,ppt_1
FromBelow,not_ugly,ppt_1
FromBelow,not_ugly,ppt_1
Level,not_ugly,ppt_1
Level,not_ugly,ppt_1
FromBelow,not_ugly,ppt_1
FromBelow,not_ugly,ppt_1
Level,ugly,ppt_1
Level,not_ugly,ppt_1
Level,not_ugly,ppt_1
Level,not_ugly,ppt_1
FromBelow,not_ugly,ppt_1
FromBelow,not_ugly,ppt_1
FromBelow,not_ugly,ppt_2
FromBelow,not_ugly,ppt_2
Level,not_ugly,ppt_2
Level,not_ugly,ppt_2
FromBelow,not_ugly,ppt_2
FromBelow,not_ugly,ppt_2
Level,not_ugly,ppt_2
Level,not_ugly,ppt_2
FromBelow,not_ugly,ppt_2
FromBelow,not_ugly,ppt_2
Level,not_ugly,ppt_2
Level,ugly,ppt_2
Level,ugly,ppt_2
Level,not_ugly,ppt_2
FromBelow,ugly,ppt_2
FromBelow,not_ugly,ppt_2
FromBelow,ugly,ppt_3
FromBelow,ugly,ppt_3
Level,not_ugly,ppt_3
Level,not_ugly,ppt_3
FromBelow,ugly,ppt_3
FromBelow,ugly,ppt_3
Level,not_ugly,ppt_3
Level,not_ugly,ppt_3
FromBelow,ugly,ppt_3
FromBelow,ugly,ppt_3
Level,ugly,ppt_3
Level,not_ugly,ppt_3
Level,ugly,ppt_3
Level,not_ugly,ppt_3
FromBelow,ugly,ppt_3
FromBelow,ugly,ppt_3
FromBelow,ugly,ppt_4
FromBelow,ugly,ppt_4
Level,ugly,ppt_4
Level,ugly,ppt_4
FromBelow,ugly,ppt_4
FromBelow,ugly,ppt_4
Level,ugly,ppt_4
Level,ugly,ppt_4
FromBelow,ugly,ppt_4
FromBelow,ugly,ppt_4
Level,ugly,ppt_4
Level,ugly,ppt_4
Level,ugly,ppt_4
Level,ugly,ppt_4
FromBelow,ugly,ppt_4
FromBelow,ugly,ppt_4
FromBelow,ugly,ppt_5
FromBelow,ugly,ppt_5
Level,not_ugly,ppt_5
Level,not_ugly,ppt_5
FromBelow,not_ugly,ppt_5
FromBelow,ugly,ppt_5
Level,not_ugly,ppt_5
Level,not_ugly,ppt_5
FromBelow,ugly,ppt_5
FromBelow,ugly,ppt_5
Level,not_ugly,ppt_5
Level,not_ugly,ppt_5
Level,not_ugly,ppt_5
Level,not_ugly,ppt_5
FromBelow,ugly,ppt_5
FromBelow,ugly,ppt_5
FromBelow,ugly,ppt_6
FromBelow,ugly,ppt_6
Level,NA,ppt_6
Level,ugly,ppt_6
FromBelow,not_ugly,ppt_6
FromBelow,ugly,ppt_6
Level,ugly,ppt_6
Level,ugly,ppt_6
FromBelow,ugly,ppt_6
FromBelow,ugly,ppt_6
Level,ugly,ppt_6
Level,not_ugly,ppt_6
Level,ugly,ppt_6
Level,not_ugly,ppt_6
FromBelow,ugly,ppt_6
FromBelow,ugly,ppt_6
FromBelow,not_ugly,ppt_7
FromBelow,not_ugly,ppt_7
Level,not_ugly,ppt_7
Level,not_ugly,ppt_7
FromBelow,not_ugly,ppt_7
FromBelow,not_ugly,ppt_7
Level,not_ugly,ppt_7
Level,not_ugly,ppt_7
FromBelow,not_ugly,ppt_7
FromBelow,not_ugly,ppt_7
Level,not_ugly,ppt_7
Level,not_ugly,ppt_7
Level,not_ugly,ppt_7
Level,not_ugly,ppt_7
FromBelow,not_ugly,ppt_7
FromBelow,not_ugly,ppt_7
FromBelow,ugly,ppt_8
FromBelow,ugly,ppt_8
Level,ugly,ppt_8
Level,ugly,ppt_8
FromBelow,ugly,ppt_8
FromBelow,ugly,ppt_8
Level,ugly,ppt_8
Level,ugly,ppt_8
FromBelow,ugly,ppt_8
FromBelow,ugly,ppt_8
Level,ugly,ppt_8
Level,ugly,ppt_8
Level,ugly,ppt_8
Level,ugly,ppt_8
FromBelow,ugly,ppt_8
FromBelow,ugly,ppt_8
FromBelow,ugly,ppt_9
FromBelow,ugly,ppt_9
Level,ugly,ppt_9
Level,ugly,ppt_9
FromBelow,ugly,ppt_9
FromBelow,ugly,ppt_9
Level,not_ugly,ppt_9
Level,ugly,ppt_9
FromBelow,ugly,ppt_9
FromBelow,ugly,ppt_9
Level,ugly,ppt_9
Level,ugly,ppt_9
Level,ugly,ppt_9
Level,not_ugly,ppt_9
FromBelow,ugly,ppt_9
FromBelow,ugly,ppt_9
