Word,SER,ARC,Iconicity
one,1.545454545,0.70176667,1.846153846
him,2.545454545,0.688550234,0.583333333
she,1.6,0.68706888,0.714285714
me,2.333333333,0.664342105,0.6
he,1.4,0.693788111,1.058823529
mine,2.083333333,0.641133487,1.5
near,2.1,0.674331486,0.538461538
spite,2.909090909,0.625163555,2.857142857
few,1.545454545,0.697463274,2.5
none,1.727272727,0.660545886,0.833333333
his,1.8,0.696755826,0.588235294
same,1.583333333,0.70001626,0
they,1.916666667,0.700460017,0.454545455
each,1.1,0.692789435,0.666666667
we,1.5,0.684430242,1.428571429
much,1.636363636,0.698896766,0.416666667
own,2.272727273,0.699641705,0.428571429
not,1.1,0.700946987,1.384615385
some,1.2,0.700745821,0.5
on,1.181818182,0.702340901,0.916666667
but,1.272727273,0.701041818,0
this,1.3,0.702379644,0.133333333
my,1.727272727,0.672549844,1.5
in,2,0.703561425,1.461538462
those,1,0.695567131,0.272727273
it,1.416666667,0.701109827,1
with,1.181818182,0.703421354,1.166666667
by,1.5,0.702064574,0.272727273
which,1.181818182,0.701840162,0.090909091
who,1.090909091,0.69318229,1.375
of,1.090909091,0.703545511,0.230769231
what,1.181818182,0.694182873,0.142857143
if,1.090909091,0.687984526,0.636363636
the,1,0.70464325,0.428571429
and,1,0.705234766,0.5625
every,1.6,0.689133942,0.25
because,1.363636364,0.69641763,0.214285714
above,2.909090909,0.681767881,1.0625
many,2.636363636,0.699320912,0.076923077
behind,2.909090909,0.689270914,1.545454545
yourself,4,0.570176721,0.333333333
after,1.6,0.697068393,0.75
sled,3,0.445304096,0.6
white,2.909090909,0.687672079,0.5
black,3.909090909,0.690200508,1.19047619
bald,2.75,0.558235884,1.363636364
red,4.1,0.684817672,1.833333333
gray,2.636363636,0.646869779,1.2
roast,4.4,0.45809865,0.714285714
home,4,0.692808449,2
round,2.909090909,0.65577817,2.785714286
beige,2.727272727,0.401548028,0.307692308
dead,3.8,0.673035383,1.307692308
back,2.5,0.693613648,0.4
thin,3.7,0.620360076,1.285714286
slim,2.090909091,0.574687183,1.818181818
ripe,3.8,0.484177023,0.714285714
dark,3.727272727,0.663153648,1.181818182
sharp,4.818181818,0.645381331,1.333333333
faint,3.3,0.515494049,0.384615385
short,3.454545455,0.693348646,2.428571429
big,2.2,0.686997592,1.090909091
clean,3.090909091,0.644040465,0.923076923
bright,5.090909091,0.634286046,1.5
cute,3.727272727,0.505858958,2.083333333
hot,3.818181818,0.655812204,2
blunt,4.363636364,0.555731714,3.166666667
deep,3.1,0.672070503,1.142857143
old,2.6,0.692802429,1.266666667
young,2.545454545,0.690129876,0.333333333
small,1.8,0.690628409,1.923076923
steep,2.916666667,0.583758056,1.5
huge,2.75,0.670431077,2.538461538
damp,2.5,0.534397423,1.076923077
cold,3.909090909,0.661951721,1.5
sore,4,0.43073386,0.923076923
large,1.8,0.690504551,1.538461538
soft,4.6,0.636464238,2.333333333
moist,3.818181818,0.564097822,1.916666667
sick,3.818181818,0.604012847,2
safe,2,0.655602634,0.5625
straight,2.454545455,0.653332412,0.357142857
first,1.916666667,0.699988902,1.3
smooth,4.181818182,0.615545869,3.25
crisp,3.333333333,0.502856731,3.7
strong,2.7,0.690561652,1.4
sweet,4.454545455,0.62605238,1.25
stray,2.5,0.513054729,0.7
down,2.454545455,0.693173826,1.909090909
swell,3.454545455,0.457566828,0.384615385
sad,2.818181818,0.586336076,1.769230769
tough,3.272727273,0.611822188,1.846153846
dry,3.8,0.63334024,1.363636364
mad,2.545454545,0.620734334,0.733333333
up,2.909090909,0.700112462,1.333333333
mass,1.454545455,0.67329812,0.384615385
thick,2.166666667,0.608416796,0.615384615
stiff,2.083333333,0.560977876,1.727272727
