Word,Modality,POS
abrasive,Haptic,A
absorbent,Visual,A
acidic,Gustatory,A
acrid,Olfactory,A
alcoholic,Gustatory,N
alive,Visual,A
angular,Visual,A
antiseptic,Olfactory,A
aromatic,Olfactory,A
audible,Auditory,A
banging,Auditory,V
barking,Auditory,V
beautiful,Visual,A
beeping,Auditory,V
beige,Visual,A
bent,Visual,V
big,Visual,A
bitter,Gustatory,A
black,Visual,A
blaring,Auditory,V
blonde,Visual,A
bloody,Visual,A
blue,Visual,A
blunt,Haptic,A
bouncy,Haptic,A
brackish,Haptic,A
branching,Visual,V
breakable,Visual,A
breezy,Visual,A
bright,Visual,A
brilliant,Visual,A
briny,Gustatory,A
bristly,Haptic,A
brittle,Haptic,A
broad,Visual,A
bronze,Visual,N
brunette,Visual,N
bulky,Visual,A
bumpy,Haptic,A
burnt,Olfactory,V
bursting,Visual,V
buttery,Gustatory,N
cheesy,Gustatory,A
checkered,Visual,A
chewy,Gustatory,A
chilly,Haptic,A
chubby,Visual,A
circular,Visual,A
clammy,Haptic,A
cloudy,Visual,A
cloying,Gustatory,A
cold,Haptic,A
colossal,Visual,A
colorful,Visual,A
conical,Visual,A
contoured,Visual,A
cooing,Auditory,V
cool,Haptic,A
craggy,Visual,A
crashing,Visual,V
creaking,Auditory,A
creamy,Gustatory,A
crinkled,Visual,V
crooked,Visual,A
crunching,Auditory,V
curved,Visual,A
cute,Visual,A
damp,Haptic,A
dank,Visual,A
dappled,Visual,A
dazzling,Visual,A
dead,Visual,A
deafening,Auditory,A
delicious,Gustatory,A
dirty,Visual,A
downy,Visual,A
dry,Haptic,A
dull,Visual,A
dusty,Visual,A
earthy,Visual,A
eggy,Gustatory,A
elegant,Visual,A
empty,Visual,A
enormous,Visual,A
falling,Visual,V
fat,Visual,A
feverish,Haptic,A
filthy,Visual,A
fishy,Olfactory,A
flaky,Haptic,A
fleshy,Visual,A
floppy,Visual,A
floral,Visual,A
flowery,Visual,A
fluffy,Haptic,A
foggy,Visual,A
fragrant,Olfactory,A
freezing,Haptic,A
fresh,Olfactory,A
frosty,Visual,A
fruity,Gustatory,A
fuzzy,Visual,A
gamy,Haptic,N
garlicky,Gustatory,A
gigantic,Visual,A
giggling,Auditory,V
glamorous,Visual,A
gleaming,Visual,A
