Word,Modality,Val
abrasive,Touch,5.398113208
absorbent,Sight,5.876666667
aching,Touch,5.233369565
acidic,Taste,5.539591837
acrid,Smell,5.173947368
adhesive,Touch,5.24
alcoholic,Taste,5.557227723
alive,Sight,6.040952381
amber,Sight,5.720549451
angular,Sight,5.477615894
antiseptic,Smell,5.511794872
aromatic,Smell,5.952941176
astringent,Taste,5.965
audible,Sound,5.351283784
banging,Sound,5.706666667
barbecued,Taste,6.052777778
barking,Sound,5.696315789
beautiful,Sight,5.819057493
beeping,Sound,4.898
beery,Taste,6.072142857
beige,Sight,5.585794393
bent,Sight,5.382307692
big,Sight,5.279962335
bitter,Taste,5.124433249
black,Sight,5.314124016
bland,Taste,5.752285714
blaring,Sound,5.275555556
bleeping,Sound,5.12
blonde,Sight,5.523850932
bloody,Sight,5.062922201
blotchy,Sight,5.692
blue,Sight,5.57398622
blunt,Touch,5.225740741
boiling,Sight,5.467142857
booming,Sound,5.528
bouncy,Touch,6.130857143
brackish,Touch,5.846363636
branching,Sight,5.616551724
breakable,Sight,5.778333333
breezy,Sight,5.993287671
bright,Sight,5.744751381
brilliant,Sight,5.725644531
briny,Taste,5.854210526
bristly,Touch,5.487931034
brittle,Touch,5.687473684
broad,Sight,5.507315951
broken,Sight,5.542655678
brown,Sight,5.470278638
bulky,Sight,5.424375
bumpy,Touch,5.566727273
burning,Smell,5.284299287
burnt,Smell,5.688061224
bursting,Sight,5.030666667
buttery,Taste,5.981587302
buzzing,Sound,5.304186047
charred,Sight,5.445233645
cheesy,Taste,5.712931034
chewy,Taste,6.031666667
chilly,Touch,5.646640625
chubby,Sight,5.797
circular,Sight,5.500909091
citrusy,Taste,6.394166667
clammy,Touch,5.379714286
clamorous,Touch,5.485882353
clean,Sight,5.519521989
clear,Sight,5.441101591
cloudy,Sight,5.802820513
cloying,Taste,5.882222222
cold,Touch,5.441072797
colorful,Sight,5.733112245
colossal,Sight,4.809586207
compact,Sight,5.610840336
conical,Sight,5.315897436
contoured,Sight,5.273809524
cooing,Sound,5.44625
cool,Touch,5.733410138
crackling,Sound,5.406304348
craggy,Sight,5.613863636
crashing,Sight,5.431944444
creaking,Sound,5.258
creamy,Taste,5.915211268
creased,Sight,5.638333333
crimson,Sight,5.701768707
crinkled,Sight,5.62125
crisp,Touch,5.792485207
crooked,Sight,5.554246575
crowded,Sight,5.491034483
crunching,Sound,5.56875
curly,Sight,5.797142857
curved,Sight,5.403806818
cute,Sight,5.948918919
damp,Touch,5.563317073
dank,Sight,5.300655738
dappled,Sight,6.320952381
dark,Sight,5.51117395
dazzling,Sight,6.0021875
dead,Sight,5.540287443
deafening,Sound,5.128783784
deep,Sight,5.276958525
delicious,Taste,5.820344828
dim,Sight,5.670717949
dirty,Sight,5.396744186
downy,Sight,5.875882353
drab,Sight,5.702307692
dry,Touch,5.469625668
dull,Sight,5.377754386
dusty,Sight,5.498056426
earthy,Sight,5.9436
echoing,Sound,5.227454545
eggy,Taste,6.436
elastic,Touch,5.487065217
elegant,Sight,5.783939394
empty,Sight,5.501381669
enormous,Sight,5.308307692
faint,Sight,5.395808581
falling,Sight,5.42992
fat,Sight,5.380684932
fatty,Taste,5.365283019
fetid,Smell,5.210606061
feverish,Touch,5.6364
filthy,Sight,5.32619883
fishy,Smell,5.7956
flaky,Touch,5.906
flat,Sight,5.48552809
fleshy,Sight,5.603472222
flickering,Sight,5.691851852
floppy,Sight,5.60125
floral,Sight,5.783373494
