Sem,Phon,Distance
Different,Similar,76
Different,Different,110
Similar,Similar,214
Different,Different,41
Different,Different,78
Different,Similar,87
Similar,Different,49
Different,Similar,72
Similar,Different,135
Different,Similar,78
Similar,Different,85
Different,Different,86
Similar,Similar,36
Different,Similar,108
Different,Different,39
Different,Different,18
Different,Similar,75
Similar,Similar,43
Different,Different,54
Different,Different,78
Similar,Different,67
Different,Different,81
Different,Similar,129
Similar,Similar,62
Similar,Different,22
Different,Similar,108
Similar,Similar,97
Different,Different,33
Similar,Similar,10
Similar,Different,15
Different,Different,134
Different,Similar,69
Different,Similar,54
Similar,Similar,63
Similar,Different,89
Different,Different,3
Different,Similar,63
Similar,Different,184
Different,Different,98
Different,Similar,118
Similar,Similar,63
Different,Different,50
Different,Similar,78
Different,Similar,27
Similar,Similar,43
Different,Similar,61
Different,Different,85
Similar,Similar,87
Similar,Different,121
Different,Different,27
Different,Different,79
Different,Similar,59
Similar,Similar,71
Different,Different,90
Different,Different,167
Similar,Similar,169
Different,Similar,175
Similar,Different,90
Different,Different,52
Similar,Similar,43
Different,Different,97
Similar,Similar,50
Different,Similar,134
Different,Different,49
Similar,Different,95
Different,Different,72
Similar,Similar,159
Different,Similar,92
Similar,Similar,112
Similar,Different,24
Different,Different,83
Different,Similar,120
Similar,Similar,103
Similar,Different,70
Different,Different,98
Different,Similar,79
Different,Similar,83
Similar,Different,49
Different,Different,64
Similar,Different,8
Similar,Different,11
Different,Similar,96
Different,Different,20
Different,Similar,153
Similar,Similar,105
Different,Different,59
Different,Different,NA
Similar,Similar,66
Similar,Different,85
Different,Different,7
Different,Similar,87
Similar,Similar,74
Different,Similar,45
Different,Different,53
Similar,Similar,82
Similar,Different,49
Similar,Different,6
Different,Similar,83
Similar,Different,55
Different,Similar,64
Similar,Different,103
Different,Different,90
Similar,Different,74
Different,Similar,66
Similar,Similar,32
Different,Similar,179
Similar,Similar,41
Similar,Different,45
Different,Different,27
Similar,Similar,64
Similar,Different,62
Different,Similar,77
Similar,Similar,38
Different,Different,182
Different,Similar,46
Similar,Similar,124
Similar,Different,21
Similar,Similar,75
Similar,Similar,67
Different,Different,79
Similar,Similar,103
Similar,Similar,85
Similar,Different,81
Different,Different,86
Similar,Similar,78
Different,Similar,82
Similar,Similar,69
Similar,Different,47
Different,Similar,68
Similar,Similar,55
Similar,Different,158
Similar,Similar,41
Different,Similar,126
Different,Different,81
Similar,Similar,209
Similar,Different,41
Similar,Similar,80
Similar,Similar,35
Similar,Different,71
Different,Different,51
Similar,Similar,41
Different,Similar,60
Similar,Different,161
Similar,Different,71
Similar,Different,104
Similar,Similar,44
Different,Similar,51
Similar,Similar,88
Different,Similar,87
Different,Different,74
Different,Different,59
Different,Similar,34
Similar,Different,8
Different,Different,79
Different,Similar,78
Similar,Similar,13
Different,Similar,73
Similar,Different,75
Similar,Different,158
Different,Different,63
Different,Similar,132
Similar,Different,129
Different,Similar,76
Similar,Different,39
Similar,Different,101
Different,Similar,151
Different,Different,98
Similar,Similar,9
Different,Different,170
Similar,Similar,103
Different,Similar,89
Similar,Similar,136
Similar,Different,29
Different,Similar,86
Different,Different,95
Different,Different,136
Different,Similar,108
Similar,Different,23
Different,Different,72
Different,Similar,93
Similar,Similar,64
Different,Different,128
Similar,Similar,94
Different,Similar,91
Similar,Similar,116
Different,Similar,169
Similar,Different,19
Similar,Different,59
Different,Similar,169
Different,Different,49
Different,Different,153
Similar,Different,69
Similar,Different,37
Similar,Different,168
Similar,Different,53
Different,Different,87
Similar,Similar,95
Similar,Similar,84
Different,Different,13
Different,Similar,89
Similar,Similar,72
Similar,Similar,51
Different,Different,108
Different,Similar,13
Different,Similar,86
Similar,Different,83
Different,Different,130
Different,Similar,132
Similar,Similar,31
Similar,Different,149
Similar,Different,78
Similar,Similar,25
Different,Similar,105
Different,Different,85
Similar,Similar,44
Different,Similar,60
Similar,Different,12
Similar,Different,21
Similar,Similar,91
Similar,Different,79
Different,Similar,72
Different,Different,31
Different,Different,41
Similar,Different,93
Similar,Similar,38
Different,Similar,92
Similar,Different,138
Different,Different,149
Similar,Similar,104
Similar,Similar,66
Similar,Similar,107
Similar,Similar,54
Similar,Different,57
Similar,Similar,131
Different,Similar,110
Different,Similar,137
Similar,Different,13
Different,Similar,122
Similar,Different,64
Similar,Similar,24
Different,Different,56
Similar,Similar,118
Different,Similar,133
Different,Similar,136
Different,Different,69
Similar,Similar,19
Similar,Similar,24
Different,Different,73
Different,Similar,72
Different,Different,81
Similar,Similar,146
Different,Similar,51
Different,Different,73
Similar,Different,10
Different,Similar,46
Different,Different,57
Different,Similar,160
Different,Different,58
Similar,Similar,72
Similar,Similar,54
Different,Similar,58
Similar,Different,87
Similar,Different,45
Similar,Different,165
Similar,Similar,79
Similar,Similar,161
Similar,Different,89
Different,Different,126
Different,Similar,47
Different,Similar,69
Similar,Similar,94
Similar,Different,13
Similar,Different,31
Different,Different,64
Similar,Similar,78
Different,Different,40
Similar,Similar,69
Different,Different,152
Similar,Different,111
Similar,Similar,88
Similar,Different,123
Different,Similar,67
Similar,Similar,33
Different,Similar,90
Different,Different,177
Similar,Similar,53
Similar,Similar,66
Similar,Similar,83
Similar,Similar,112
Different,Similar,73
Similar,Different,166
Different,Similar,171
Different,Similar,14
Different,Different,30
Similar,Different,75
Different,Different,55
Different,Different,64
Similar,Similar,64
Different,Similar,64
Different,Different,88
Similar,Similar,27
Different,Different,23
Different,Different,32
Different,Similar,103
Different,Different,105
Different,Similar,70
Different,Similar,67
Different,Similar,76
Similar,Different,85
Different,Similar,66
Different,Different,124
Similar,Similar,65
Different,Different,101
Similar,Different,44
Different,Similar,105
Similar,Different,81
Different,Different,73
Similar,Different,23
Similar,Similar,50
Different,Different,77
Similar,Similar,60
Different,Similar,65
Different,Similar,65
Different,Different,25
Similar,Different,22
Different,Similar,68
Similar,Different,70
Different,Similar,6
Similar,Different,60
Different,Different,90
Similar,Different,82
Similar,Different,71
Similar,Similar,41
Different,Different,53
Similar,Different,60
Similar,Similar,81
Similar,Different,58
