"subject","Details","Distance"
"S1","Yes","near"
"S2","Yes","near"
"S3","Yes","far"
"S4","Yes","far"
"S5","Yes","near"
"S6","Yes","far"
"S7","Yes","near"
"S8","No","far"
"S9","No","far"
"S10","Yes","far"
"S11","No","far"
"S12","No","near"
"S13","Yes","near"
"S14","No","far"
"S15","Yes","far"
"S16","Yes","near"
"S17","Yes","near"
"S18","Yes","far"
"S19","No","far"
"S20","No","far"
"S21","Yes","near"
"S22","Yes","near"
"S23","No","far"
"S24","Yes","near"
"S25","No","far"
"S26","Yes","far"
"S27","No","far"
"S28","No","far"
"S29","No","far"
"S30","Yes","far"
"S31","No","far"
"S32","No","far"
"S33","Yes","near"
"S34","Yes","far"
"S35","Yes","near"
"S36","Yes","near"
"S37","Yes","near"
"S38","Yes","near"
"S39","Yes","near"
"S40","Yes","near"
"S41","Yes","near"
"S42","No","far"
"S43","No","near"
"S44","No","far"
"S45","No","far"
"S46","No","far"
"S47","Yes","near"
"S48","No","near"
"S49","No","far"
"S50","Yes","near"
"S51","Yes","far"
"S52","No","near"
"S53","Yes","near"
"S54","Yes","near"
"S55","No","far"
"S56","Yes","near"
"S57","Yes","far"
"S58","No","far"
"S59","Yes","near"
"S60","Yes","far"
"S61","Yes","far"
"S62","Yes","far"
"S63","Yes","far"
"S64","Yes","near"
"S65","No","far"
"S66","Yes","far"
"S67","Yes","near"
"S68","Yes","near"
"S69","No","near"
"S70","Yes","near"
"S71","Yes","far"
"S72","Yes","far"
"S73","Yes","far"
"S74","Yes","far"
"S75","Yes","near"
"S76","Yes","near"
"S77","Yes","far"
"S78","Yes","near"
"S79","Yes","near"
"S80","Yes","near"
"S81","Yes","far"
"S82","Yes","far"
"S83","Yes","far"
"S84","Yes","near"
"S85","No","near"
"S86","Yes","far"
"S87","Yes","near"
"S88","No","near"
"S89","No","near"
"S90","No","near"
"S91","Yes","near"
"S92","Yes","near"
"S93","No","near"
"S94","No","near"
"S95","Yes","far"
"S96","Yes","far"
"S97","Yes","far"
"S98","Yes","far"
"S99","No","far"
"S100","No","near"
"S101","Yes","near"
"S102","Yes","far"
"S103","Yes","far"
"S104","No","near"
"S105","Yes","far"
"S106","Yes","near"
"S107","No","near"
"S108","Yes","far"
"S109","No","far"
"S110","No","near"
"S111","Yes","far"
"S112","Yes","near"
"S113","Yes","far"
"S114","No","far"
"S115","Yes","far"
"S116","No","near"
"S117","No","far"
"S118","Yes","far"
"S119","No","far"
"S120","Yes","far"
"S121","No","near"
"S122","No","far"
"S123","Yes","near"
"S124","No","near"
"S125","No","far"
"S126","Yes","far"
"S127","No","far"
"S128","No","near"
"S129","Yes","far"
"S130","No","near"
"S131","Yes","far"
"S132","No","far"
"S133","Yes","near"
"S134","Yes","near"
"S135","No","far"
"S136","No","far"
"S137","Yes","near"
"S138","Yes","near"
"S139","No","far"
"S140","Yes","near"
"S141","Yes","near"
"S142","Yes","near"
"S143","No","near"
"S144","Yes","far"
"S145","No","far"
"S146","No","near"
"S147","Yes","near"
"S148","Yes","far"
"S149","Yes","near"
"S150","Yes","far"
"S151","Yes","near"
"S152","Yes","near"
"S153","Yes","near"
"S154","Yes","far"
"S155","No","near"
"S156","No","near"
"S157","Yes","far"
"S158","Yes","near"
"S159","Yes","far"
"S160","Yes","far"
"S161","No","far"
"S162","No","near"
"S163","No","far"
"S164","No","far"
"S165","No","far"
"S166","No","near"
"S167","No","near"
"S168","Yes","far"
"S169","No","far"
"S170","No","far"
"S171","Yes","far"
"S172","No","near"
"S173","No","far"
"S174","No","far"
"S175","No","far"
"S176","No","far"
"S177","Yes","near"
"S178","No","far"
"S179","No","near"
"S180","No","far"
"S181","Yes","near"
"S182","No","far"
"S183","No","near"
"S184","No","far"
"S185","Yes","near"
"S186","Yes","near"
"S187","Yes","far"
"S188","No","far"
"S189","No","near"
"S190","Yes","near"
"S191","No","far"
"S192","Yes","near"
"S193","Yes","near"
"S194","Yes","far"
"S195","Yes","near"
"S196","No","far"
"S197","No","near"
"S198","No","near"
"S199","No","far"
"S200","No","far"
"S201","Yes","near"
"S202","Yes","near"
"S203","Yes","far"
"S204","Yes","far"
"S205","No","far"
"S206","No","near"
"S207","No","far"
"S208","No","far"
"S209","Yes","near"
"S210","No","far"
"S211","No","near"
"S212","No","far"
"S213","Yes","far"
"S214","Yes","near"
